'sample interval','ECG1','ECG2'
2277814,-0.210,-0.570
2277815,-0.260,-0.555
2277816,-0.275,-0.545
2277817,-0.290,-0.530
2277818,-0.325,-0.530
2277819,-0.365,-0.515
2277820,-0.410,-0.550
2277821,-0.465,-0.600
2277822,-0.490,-0.610
2277823,-0.525,-0.615
2277824,-0.600,-0.650
2277825,-0.640,-0.680
2277826,-0.710,-0.715
2277827,-0.760,-0.740
2277828,-0.820,-0.750
2277829,-0.870,-0.810
2277830,-0.910,-0.855
2277831,-0.960,-0.830
2277832,-0.985,-0.855
2277833,-1.015,-0.885
2277834,-1.060,-0.915
2277835,-1.060,-0.920
2277836,-1.085,-0.940
2277837,-1.100,-0.915
2277838,-1.110,-0.890
2277839,-1.095,-0.915
2277840,-1.085,-0.915
2277841,-1.110,-0.880
2277842,-1.100,-0.870
2277843,-1.075,-0.885
2277844,-1.075,-0.905
2277845,-1.095,-0.940
2277846,-1.090,-0.965
2277847,-1.080,-0.940
2277848,-1.100,-0.905
2277849,-1.080,-0.900
2277850,-1.070,-0.875
2277851,-1.050,-0.880
2277852,-1.050,-0.875
2277853,-1.045,-0.900
2277854,-1.050,-0.905
2277855,-1.040,-0.890
2277856,-1.030,-0.915
2277857,-1.015,-0.910
2277858,-1.030,-0.945
2277859,-1.005,-0.935
2277860,-0.970,-0.950
2277861,-0.965,-0.970
2277862,-0.970,-0.980
2277863,-0.960,-1.035
2277864,-0.960,-1.065
2277865,-0.960,-1.000
2277866,-0.995,-1.025
2277867,-0.970,-1.010
2277868,-0.995,-1.015
2277869,-1.020,-0.985
2277870,-1.035,-0.995
2277871,-1.050,-0.985
2277872,-1.055,-1.020
2277873,-1.065,-1.000
2277874,-1.075,-1.005
2277875,-1.140,-0.980
2277876,-1.135,-1.000
2277877,-1.135,-1.015
2277878,-1.135,-1.035
2277879,-1.125,-0.995
2277880,-1.140,-0.975
2277881,-1.120,-0.915
2277882,-1.140,-0.895
2277883,-1.100,-0.870
2277884,-1.095,-0.890
2277885,-1.080,-0.910
2277886,-1.060,-0.885
2277887,-1.050,-0.915
2277888,-1.080,-0.905
2277889,-1.050,-0.910
2277890,-1.030,-0.930
2277891,-1.055,-0.935
2277892,-1.030,-0.940
2277893,-1.020,-0.945
2277894,-1.020,-0.925
2277895,-1.015,-0.935
2277896,-1.035,-0.935
2277897,-1.045,-0.975
2277898,-1.075,-0.980
2277899,-1.035,-0.970
2277900,-1.055,-0.970
2277901,-1.040,-0.975
2277902,-1.015,-0.985
2277903,-1.005,-0.980
2277904,-0.990,-0.990
2277905,-0.995,-0.995
2277906,-1.015,-0.985
2277907,-1.000,-0.975
2277908,-0.970,-0.960
2277909,-0.970,-1.025
2277910,-0.980,-1.055
2277911,-0.970,-1.025
2277912,-1.010,-0.985
2277913,-1.030,-0.970
2277914,-1.065,-0.990
2277915,-1.085,-0.970
2277916,-1.080,-0.950
2277917,-1.100,-0.935
2277918,-1.110,-0.960
2277919,-1.115,-0.925
2277920,-1.085,-0.900
2277921,-1.095,-0.915
2277922,-1.075,-0.865
2277923,-1.110,-0.730
2277924,-1.085,-0.500
2277925,-1.035,-0.270
2277926,-0.920,-0.020
2277927,-0.850,0.110
2277928,-1.015,0.100
2277929,-1.395,0.115
2277930,-2.045,0.155
2277931,-2.635,0.245
2277932,-3.075,0.265
2277933,-3.390,0.200
2277934,-3.485,0.140
2277935,-3.440,0.065
2277936,-3.310,-0.040
2277937,-3.200,-0.150
2277938,-3.135,-0.300
2277939,-3.030,-0.410
2277940,-2.840,-0.495
2277941,-2.690,-0.575
2277942,-2.575,-0.585
2277943,-2.440,-0.605
2277944,-2.300,-0.740
2277945,-2.145,-1.000
2277946,-2.155,-1.265
2277947,-2.075,-1.395
2277948,-1.960,-1.365
2277949,-1.785,-1.275
2277950,-1.645,-1.220
2277951,-1.455,-1.185
2277952,-1.240,-1.130
2277953,-1.060,-1.065
2277954,-0.910,-1.045
2277955,-0.820,-1.035
2277956,-0.750,-0.995
2277957,-0.690,-0.995
2277958,-0.665,-1.005
2277959,-0.630,-1.000
2277960,-0.565,-0.995
2277961,-0.550,-0.955
2277962,-0.585,-0.945
2277963,-0.565,-0.960
2277964,-0.525,-0.945
2277965,-0.510,-0.940
2277966,-0.510,-0.980
2277967,-0.480,-0.995
2277968,-0.460,-0.955
2277969,-0.450,-0.900
2277970,-0.445,-0.895
2277971,-0.405,-0.900
2277972,-0.360,-0.930
2277973,-0.345,-0.920
2277974,-0.310,-0.925
2277975,-0.295,-0.935
2277976,-0.260,-0.930
2277977,-0.250,-0.915
2277978,-0.195,-0.895
2277979,-0.155,-0.865
2277980,-0.120,-0.865
2277981,-0.075,-0.885
2277982,-0.035,-0.890
2277983,0.020,-0.880
2277984,0.015,-0.860
2277985,0.020,-0.820
2277986,0.000,-0.835
2277987,0.015,-0.825
2277988,0.035,-0.815
2277989,0.045,-0.790
2277990,0.030,-0.785
2277991,0.050,-0.765
2277992,0.015,-0.760
2277993,-0.025,-0.750
2277994,-0.050,-0.695
2277995,-0.095,-0.665
2277996,-0.135,-0.650
2277997,-0.155,-0.680
2277998,-0.215,-0.705
2277999,-0.270,-0.705
2278000,-0.320,-0.725
2278001,-0.395,-0.735
2278002,-0.460,-0.740
2278003,-0.505,-0.760
2278004,-0.540,-0.815
2278005,-0.560,-0.850
2278006,-0.575,-0.850
2278007,-0.615,-0.870
2278008,-0.610,-0.910
2278009,-0.605,-0.880
2278010,-0.605,-0.910
2278011,-0.585,-0.960
2278012,-0.590,-0.955
2278013,-0.610,-0.945
2278014,-0.610,-0.935
2278015,-0.600,-0.950
2278016,-0.545,-0.935
2278017,-0.525,-0.945
2278018,-0.475,-0.925
2278019,-0.260,-0.970
2278020,-0.195,-0.975
2278021,-0.195,-0.965
2278022,-0.175,-0.970
2278023,-0.170,-0.970
2278024,-0.155,-0.960
2278025,-0.125,-0.930
2278026,-0.095,-0.940
2278027,-0.095,-0.985
2278028,-0.095,-0.995
2278029,-0.120,-1.045
2278030,-0.155,-1.060
2278031,-0.185,-1.035
2278032,-0.195,-1.060
2278033,-0.215,-1.075
2278034,-0.245,-1.095
2278035,-0.225,-1.100
2278036,-0.260,-1.090
2278037,-0.305,-1.105
2278038,-0.285,-1.110
2278039,-0.260,-1.105
2278040,-0.235,-1.095
2278041,-0.240,-1.085
2278042,-0.225,-1.065
2278043,-0.190,-1.035
2278044,-0.185,-1.030
2278045,-0.225,-1.015
2278046,-0.600,-1.025
2278047,-1.000,-1.005
2278048,-0.985,-1.015
2278049,-0.990,-0.990
2278050,-0.980,-0.935
2278051,-0.960,-0.895
2278052,-0.940,-0.915
2278053,-0.905,-0.920
2278054,-0.905,-0.895
2278055,-0.875,-0.860
2278056,-0.865,-0.850
2278057,-0.850,-0.815
2278058,-0.840,-0.780
2278059,-0.815,-0.785
2278060,-0.820,-0.775
2278061,-0.805,-0.780
2278062,-0.815,-0.790
2278063,-0.775,-0.810
2278064,-0.780,-0.810
2278065,-0.795,-0.830
2278066,-0.765,-0.825
2278067,-0.700,-0.830
2278068,-0.655,-0.880
2278069,-0.505,-0.910
2278070,-0.265,-0.945
2278071,0.035,-0.960
2278072,0.285,-0.960
2278073,0.395,-0.960
2278074,0.400,-0.955
2278075,0.385,-0.950
2278076,0.360,-0.930
2278077,0.350,-0.955
2278078,0.360,-0.935
2278079,0.405,-0.945
2278080,0.410,-0.945
2278081,0.425,-0.945
2278082,0.470,-0.955
2278083,0.530,-0.965
2278084,0.555,-1.010
2278085,0.605,-0.960
2278086,0.640,-0.895
2278087,0.665,-0.890
2278088,0.690,-0.915
2278089,0.740,-0.880
2278090,0.780,-0.865
2278091,0.815,-0.830
2278092,0.805,-0.805
2278093,0.825,-0.780
2278094,0.850,-0.820
2278095,0.860,-0.810
2278096,0.860,-0.800
2278097,0.855,-0.800
2278098,0.830,-0.805
2278099,0.830,-0.870
2278100,0.795,-0.925
2278101,0.795,-0.965
2278102,0.795,-0.995
2278103,0.805,-0.965
2278104,0.815,-0.985
2278105,0.840,-1.025
2278106,0.895,-1.085
2278107,0.945,-1.110
2278108,0.965,-1.115
2278109,0.945,-1.135
2278110,0.960,-1.160
2278111,0.965,-1.145
2278112,1.015,-1.155
2278113,1.045,-1.130
2278114,1.065,-1.080
2278115,1.100,-0.960
2278116,1.180,-0.780
2278117,1.295,-0.630
2278118,1.385,-0.400
2278119,1.485,-0.225
2278120,1.475,-0.185
2278121,1.230,-0.205
2278122,0.730,-0.160
2278123,0.180,-0.080
2278124,-0.320,0.010
2278125,-0.755,-0.020
2278126,-1.065,-0.105
2278127,-1.025,-0.180
2278128,-0.840,-0.300
2278129,-0.575,-0.380
2278130,-0.420,-0.525
2278131,-0.230,-0.650
2278132,0.000,-0.715
2278133,0.235,-0.715
2278134,0.415,-0.685
2278135,0.610,-0.615
2278136,0.805,-0.680
2278137,0.975,-0.860
2278138,1.160,-1.140
2278139,1.325,-1.310
2278140,1.480,-1.370
2278141,1.650,-1.320
2278142,1.845,-1.230
2278143,2.255,-1.185
2278144,2.655,-1.250
2278145,2.860,-1.300
2278146,2.955,-1.210
2278147,3.050,-1.160
2278148,3.125,-1.175
2278149,3.150,-1.170
2278150,3.170,-1.140
2278151,3.180,-1.135
2278152,3.210,-1.145
2278153,3.235,-1.125
2278154,3.220,-1.115
2278155,3.225,-1.115
2278156,3.255,-1.110
2278157,3.250,-1.110
2278158,3.275,-1.080
2278159,3.275,-1.065
2278160,3.305,-1.115
2278161,3.325,-1.105
2278162,3.310,-1.065
2278163,3.315,-0.985
2278164,3.350,-1.025
2278165,3.325,-1.130
2278166,3.340,-1.165
2278167,3.350,-1.175
2278168,3.365,-1.175
2278169,3.330,-1.210
2278170,3.350,-1.170
2278171,3.345,-1.110
2278172,3.335,-1.060
2278173,3.370,-1.080
2278174,3.370,-1.095
2278175,3.345,-1.085
2278176,3.355,-1.070
2278177,3.355,-1.050
2278178,3.340,-1.080
2278179,3.335,-1.020
2278180,3.330,-0.900
2278181,3.330,-0.980
2278182,3.325,-1.230
2278183,3.320,-1.300
2278184,3.310,-1.235
2278185,3.295,-1.145
2278186,3.320,-1.075
2278187,3.340,-1.055
2278188,3.310,-1.050
2278189,3.290,-1.050
2278190,3.320,-1.055
2278191,3.290,-1.030
2278192,3.310,-1.005
2278193,3.310,-0.985
2278194,3.300,-1.010
2278195,3.310,-1.040
2278196,3.300,-1.055
2278197,3.315,-1.090
2278198,3.305,-1.125
2278199,3.290,-1.125
2278200,3.295,-1.095
2278201,3.285,-1.110
2278202,3.290,-1.170
2278203,3.300,-1.200
2278204,3.290,-1.240
2278205,3.295,-1.250
2278206,3.290,-1.260
2278207,3.270,-1.295
2278208,3.265,-1.310
2278209,3.270,-1.370
2278210,3.260,-1.405
2278211,3.260,-1.405
2278212,3.245,-1.440
2278213,3.275,-1.455
2278214,3.255,-1.500
2278215,3.260,-1.490
2278216,3.240,-1.495
2278217,3.240,-1.520
2278218,3.255,-1.560
2278219,3.250,-1.565
2278220,3.235,-1.570
2278221,3.250,-1.580
2278222,3.235,-1.580
2278223,3.225,-1.600
2278224,3.260,-1.610
2278225,3.225,-1.610
2278226,3.230,-1.585
2278227,3.210,-1.590
2278228,3.230,-1.650
2278229,3.225,-1.675
2278230,3.220,-1.670
2278231,3.200,-1.665
2278232,3.220,-1.650
2278233,3.235,-1.650
2278234,3.200,-1.690
2278235,3.215,-1.705
2278236,3.200,-1.650
2278237,3.200,-1.600
2278238,3.195,-1.610
2278239,3.200,-1.580
2278240,3.210,-1.580
2278241,3.185,-1.585
2278242,3.215,-1.600
2278243,3.200,-1.595
2278244,3.220,-1.615
2278245,3.240,-1.640
2278246,3.205,-1.655
2278247,3.215,-1.590
2278248,3.200,-1.400
2278249,3.200,-1.275
2278250,3.205,-1.335
2278251,3.200,-1.470
2278252,3.215,-1.505
2278253,3.185,-1.545
2278254,3.155,-1.710
2278255,3.180,-1.810
2278256,3.180,-1.860
2278257,3.190,-1.890
2278258,3.165,-1.935
2278259,3.165,-1.990
2278260,3.165,-2.020
2278261,3.180,-2.040
2278262,3.170,-2.045
2278263,3.160,-2.045
2278264,3.170,-2.040
2278265,3.155,-2.025
2278266,3.140,-2.050
2278267,3.155,-2.030
2278268,3.160,-1.880
2278269,3.165,-1.730
2278270,3.150,-1.780
2278271,3.155,-2.095
2278272,3.160,-2.310
2278273,3.140,-2.410
2278274,3.150,-2.330
2278275,3.150,-2.265
2278276,3.130,-2.190
2278277,3.145,-2.145
2278278,3.140,-2.160
2278279,3.145,-2.190
2278280,3.150,-2.150
2278281,3.150,-2.160
2278282,3.130,-2.160
2278283,3.135,-2.185
2278284,3.140,-2.200
2278285,3.135,-2.190
2278286,3.125,-2.205
2278287,3.130,-2.270
2278288,3.140,-2.300
2278289,3.110,-2.270
2278290,3.115,-2.235
2278291,3.110,-2.260
2278292,3.120,-2.290
2278293,3.120,-2.250
2278294,3.125,-2.265
2278295,3.120,-2.280
2278296,3.100,-2.290
2278297,3.085,-2.285
2278298,3.110,-2.260
2278299,3.100,-2.250
2278300,3.090,-2.235
2278301,3.105,-2.225
2278302,3.090,-2.215
2278303,3.095,-2.215
2278304,3.105,-2.220
2278305,3.110,-2.235
2278306,3.100,-2.220
2278307,3.090,-2.250
2278308,3.080,-2.230
2278309,3.090,-2.175
2278310,3.065,-2.085
2278311,3.080,-2.060
2278312,3.060,-2.135
2278313,3.065,-2.225
2278314,3.055,-2.285
2278315,3.085,-2.335
2278316,3.070,-2.250
2278317,3.060,-2.215
2278318,3.035,-2.140
2278319,3.040,-2.005
2278320,3.075,-1.775
2278321,3.065,-1.430
2278322,3.055,-1.020
2278323,3.070,-0.685
2278324,3.050,-0.465
2278325,3.060,-0.280
2278326,3.050,-0.165
2278327,2.945,-0.025
2278328,2.695,0.010
2278329,2.395,-0.005
2278330,2.245,-0.125
2278331,2.290,-0.255
2278332,2.455,-0.410
2278333,2.610,-0.545
2278334,2.530,-0.720
2278335,2.505,-0.900
2278336,2.650,-0.965
2278337,2.765,-0.955
2278338,2.790,-0.965
2278339,2.845,-0.970
2278340,2.855,-1.160
2278341,2.920,-1.480
2278342,2.940,-1.885
2278343,2.955,-2.190
2278344,2.965,-2.355
2278345,2.980,-2.465
2278346,2.970,-2.460
2278347,2.970,-2.460
2278348,3.000,-2.505
2278349,2.995,-2.470
2278350,3.005,-2.405
2278351,2.995,-2.385
2278352,2.985,-2.425
2278353,2.995,-2.405
2278354,2.985,-2.400
2278355,3.010,-2.410
2278356,3.000,-2.405
2278357,2.995,-2.430
2278358,3.000,-2.420
2278359,2.995,-2.445
2278360,2.985,-2.475
2278361,3.000,-2.470
2278362,2.970,-2.455
2278363,2.990,-2.445
2278364,2.965,-2.450
2278365,2.975,-2.415
2278366,2.970,-2.360
2278367,2.965,-2.350
2278368,2.945,-2.350
2278369,2.965,-2.360
2278370,2.960,-2.370
2278371,2.935,-2.370
2278372,2.940,-2.365
2278373,2.940,-2.350
2278374,2.935,-2.325
2278375,2.920,-2.310
2278376,2.920,-2.325
2278377,2.900,-2.375
2278378,2.930,-2.370
2278379,2.915,-2.350
2278380,2.920,-2.305
2278381,2.910,-2.305
2278382,2.920,-2.280
2278383,2.905,-2.270
2278384,2.920,-2.265
2278385,2.910,-2.250
2278386,2.900,-2.225
2278387,2.905,-2.205
2278388,2.895,-2.180
2278389,2.910,-2.195
2278390,2.890,-2.170
2278391,2.910,-2.100
2278392,2.895,-2.090
2278393,2.900,-2.100
2278394,2.895,-2.055
2278395,2.900,-2.050
2278396,2.930,-2.050
2278397,2.910,-2.060
2278398,2.890,-2.040
2278399,2.875,-2.010
2278400,2.895,-1.995
2278401,2.875,-2.025
2278402,2.885,-2.050
2278403,2.860,-2.010
2278404,2.860,-2.035
2278405,2.870,-2.030
2278406,2.870,-2.010
2278407,2.870,-1.950
2278408,2.870,-2.010
2278409,2.855,-2.025
2278410,2.850,-1.995
2278411,2.865,-1.975
2278412,2.835,-2.000
2278413,2.835,-2.060
2278414,2.810,-2.070
2278415,2.830,-2.060
2278416,2.840,-2.025
2278417,2.850,-1.995
2278418,2.830,-2.010
2278419,2.820,-2.000
2278420,2.825,-1.940
2278421,2.835,-1.945
2278422,2.815,-1.925
2278423,2.820,-1.905
2278424,2.820,-1.900
2278425,2.805,-1.925
2278426,2.790,-1.940
2278427,2.790,-1.950
2278428,2.800,-1.950
2278429,2.810,-1.970
2278430,2.780,-1.990
2278431,2.770,-2.000
2278432,2.775,-2.010
2278433,2.770,-2.035
2278434,2.770,-2.050
2278435,2.750,-2.100
2278436,2.780,-2.110
2278437,2.770,-2.160
2278438,2.770,-2.140
2278439,2.740,-2.105
2278440,2.765,-2.125
2278441,2.770,-2.130
2278442,2.745,-2.150
2278443,2.735,-2.145
2278444,2.740,-2.140
2278445,2.735,-2.135
2278446,2.715,-2.130
2278447,2.730,-2.125
2278448,2.705,-2.065
2278449,2.705,-2.060
2278450,2.705,-2.085
2278451,2.710,-2.100
2278452,2.700,-2.070
2278453,2.690,-2.020
2278454,2.675,-1.980
2278455,2.680,-1.970
2278456,2.680,-1.950
2278457,2.680,-1.945
2278458,2.685,-1.965
2278459,2.675,-1.975
2278460,2.685,-1.940
2278461,2.665,-1.900
2278462,2.685,-1.895
2278463,2.650,-1.875
2278464,2.680,-1.835
2278465,2.665,-1.835
2278466,2.660,-1.855
2278467,2.655,-1.860
2278468,2.655,-1.810
2278469,2.665,-1.795
2278470,2.655,-1.860
2278471,2.650,-1.980
2278472,2.630,-2.020
2278473,2.620,-1.990
2278474,2.645,-1.995
2278475,2.620,-2.020
2278476,2.625,-2.015
2278477,2.610,-2.000
2278478,2.615,-1.985
2278479,2.590,-1.970
2278480,2.605,-1.950
2278481,2.610,-1.905
2278482,2.630,-1.905
2278483,2.595,-1.920
2278484,2.595,-1.900
2278485,2.580,-1.865
2278486,2.610,-1.905
2278487,2.595,-1.890
2278488,2.590,-1.840
2278489,2.580,-1.805
2278490,2.600,-1.760
2278491,2.575,-1.780
2278492,2.575,-1.755
2278493,2.575,-1.705
2278494,2.570,-1.695
2278495,2.560,-1.765
2278496,2.540,-1.740
2278497,2.535,-1.745
2278498,2.555,-1.725
2278499,2.555,-1.700
2278500,2.535,-1.690
2278501,2.550,-1.675
2278502,2.525,-1.640
2278503,2.530,-1.660
2278504,2.520,-1.665
2278505,2.510,-1.625
2278506,2.510,-1.585
2278507,2.520,-1.560
2278508,2.520,-1.580
2278509,2.520,-1.605
2278510,2.500,-1.620
2278511,2.510,-1.645
2278512,2.505,-1.670
2278513,2.500,-1.685
2278514,2.485,-1.670
2278515,2.505,-1.635
2278516,2.470,-1.600
2278517,2.490,-1.455
2278518,2.470,-1.260
2278519,2.480,-1.030
2278520,2.455,-0.725
2278521,2.465,-0.450
2278522,2.480,-0.265
2278523,2.485,-0.095
2278524,2.485,0.090
2278525,2.445,0.290
2278526,2.360,0.445
2278527,2.160,0.530
2278528,2.000,0.480
2278529,2.030,0.420
2278530,2.140,0.335
2278531,2.230,0.255
2278532,2.285,0.170
2278533,2.310,0.020
2278534,2.350,-0.100
2278535,2.370,-0.120
2278536,2.370,-0.110
2278537,2.370,-0.075
2278538,2.400,-0.115
2278539,2.400,-0.320
2278540,2.400,-0.735
2278541,2.400,-1.125
2278542,2.415,-1.410
2278543,2.415,-1.630
2278544,2.410,-1.770
2278545,2.400,-1.775
