Order,ECG1,ECG2
226,0.215,-0.57
227,0.22,-0.59
228,0.215,-0.595
229,0.23,-0.58
230,0.225,-0.59
231,0.215,-0.585
232,0.235,-0.595
233,0.235,-0.64
234,0.255,-0.61
235,0.26,-0.63
236,0.235,-0.62
237,0.22,-0.58
238,0.195,-0.59
239,0.165,-0.635
240,0.14,-0.66
241,0.17,-0.64
242,0.14,-0.575
243,0.1,-0.57
244,0.065,-0.56
245,0.09,-0.58
246,0.085,-0.56
247,0.08,-0.54
248,0.08,-0.545
249,0.085,-0.53
250,0.085,-0.515
251,0.09,-0.51
252,0.095,-0.5
253,0.11,-0.49
254,0.1,-0.495
255,0.115,-0.5
256,0.13,-0.505
257,0.15,-0.56
258,0.12,-0.58
259,0.12,-0.6
260,0.15,-0.58
261,0.12,-0.56
262,0.105,-0.585
263,0.15,-0.6
264,0.15,-0.55
265,0.07,-0.485
266,0.09,-0.39
267,0.1,-0.25
268,0.135,0.005
269,0.23,0.345
270,0.24,0.59
271,0.035,0.81
272,-0.34,1.02
273,-0.975,1.25
274,-1.68,1.355
275,-2.195,1.335
276,-2.51,1.3
277,-2.61,1.275
278,-2.555,1.21
279,-2.445,1.05
280,-2.28,0.915
281,-2.15,0.745
282,-2.05,0.58
283,-1.9,0.46
284,-1.73,0.33
285,-1.625,0.16
286,-1.475,0.015
287,-1.305,-0.215
288,-1.185,-0.62
289,-1.11,-0.955
290,-1.005,-1.1
291,-0.9,-1.085
292,-0.755,-1.04
293,-0.63,-0.97
294,-0.45,-0.87
295,-0.27,-0.84
296,-0.08,-0.8
297,0.08,-0.775
298,0.255,-0.785
299,0.355,-0.77
300,0.455,-0.81
301,0.535,-0.83
302,0.56,-0.805
303,0.57,-0.8
304,0.59,-0.85
305,0.605,-0.84
306,0.63,-0.83
307,0.67,-0.81
308,0.67,-0.79
309,0.685,-0.825
310,0.725,-0.805
311,0.75,-0.8
312,0.775,-0.785
313,0.79,-0.805
314,0.8,-0.81
315,0.835,-0.765
316,0.875,-0.76
317,0.88,-0.72
318,0.9,-0.7
319,0.935,-0.71
320,0.995,-0.725
321,1.035,-0.73
322,1.025,-0.685
323,1.04,-0.65
324,1.05,-0.625
325,1.1,-0.6
326,1.095,-0.58
327,1.115,-0.57
328,1.105,-0.545
329,1.14,-0.52
330,1.18,-0.49
331,1.16,-0.48
332,1.165,-0.485
333,1.155,-0.45
334,1.125,-0.43
335,1.1,-0.4
336,1.08,-0.4
337,1.08,-0.37
338,1.005,-0.345
339,0.96,-0.335
340,0.925,-0.3
341,0.85,-0.32
342,0.765,-0.34
343,0.74,-0.36
344,0.68,-0.375
345,0.62,-0.39
346,0.545,-0.425
347,0.525,-0.445
348,0.445,-0.465
349,0.415,-0.495
350,0.37,-0.5
351,0.335,-0.515
352,0.29,-0.55
353,0.26,-0.58
354,0.25,-0.605
355,0.245,-0.6
356,0.235,-0.575
357,0.195,-0.565
358,0.22,-0.54
359,0.205,-0.575
360,0.23,-0.595
361,0.23,-0.605
362,0.19,-0.595
363,0.185,-0.565
364,0.185,-0.53
365,0.16,-0.555
366,0.19,-0.57
367,0.2,-0.585
368,0.21,-0.59
369,0.205,-0.605
370,0.19,-0.605
371,0.14,-0.575
372,0.075,-0.585
373,0.065,-0.56
374,0.085,-0.57
375,0.07,-0.54
376,0.07,-0.555
377,0.085,-0.565
378,0.085,-0.575
379,0.125,-0.545
380,0.125,-0.56
381,0.115,-0.585
382,0.13,-0.585
383,0.165,-0.59
384,0.15,-0.58
385,0.175,-0.58
386,0.16,-0.62
387,0.165,-0.605
388,0.17,-0.605
389,0.145,-0.605
390,0.135,-0.62
391,0.16,-0.605
392,0.19,-0.61
393,0.195,-0.61
394,0.13,-0.59
395,0.135,-0.6
396,0.17,-0.575
397,0.155,-0.555
398,0.195,-0.585
399,0.175,-0.6
400,0.18,-0.59
401,0.18,-0.6
402,0.18,-0.61
403,0.155,-0.58
404,0.155,-0.54
405,0.15,-0.52
406,0.17,-0.54
407,0.21,-0.52
408,0.235,-0.54
409,0.205,-0.53
410,0.18,-0.515
411,0.185,-0.5
412,0.15,-0.51
413,0.14,-0.495
414,0.095,-0.47
415,0.085,-0.505
416,0.08,-0.505
417,0.095,-0.48
418,0.085,-0.5
419,0.095,-0.48
420,0.085,-0.53
421,0.11,-0.54
422,0.115,-0.535
423,0.115,-0.505
424,0.09,-0.535
425,0.08,-0.505
426,0.095,-0.48
427,0.1,-0.5
428,0.1,-0.505
429,0.1,-0.5
430,0.1,-0.495
431,0.105,-0.5
432,0.125,-0.49
433,0.105,-0.475
434,0.135,-0.465
435,0.13,-0.495
436,0.13,-0.465
437,0.17,-0.45
438,0.155,-0.425
439,0.185,-0.395
440,0.18,-0.415
441,0.17,-0.41
442,0.2,-0.365
443,0.225,-0.32
444,0.205,-0.315
445,0.205,-0.335
446,0.245,-0.365
447,0.26,-0.34
448,0.27,-0.35
449,0.28,-0.355
450,0.255,-0.335
451,0.27,-0.325
452,0.255,-0.35
453,0.205,-0.325
454,0.185,-0.315
455,0.14,-0.3
456,0.13,-0.27
457,0.11,-0.21
458,0.115,-0.09
459,0.115,0.065
460,0.125,0.28
461,0.195,0.58
462,0.225,0.81
463,0.02,1.01
464,-0.375,1.22
465,-0.97,1.415
466,-1.66,1.52
467,-2.165,1.555
468,-2.5,1.495
469,-2.65,1.445
470,-2.56,1.365
471,-2.43,1.245
472,-2.27,1.145
473,-2.155,0.985
474,-2.05,0.8
475,-1.855,0.66
476,-1.685,0.56
477,-1.57,0.46
478,-1.45,0.305
479,-1.28,0.1
480,-1.14,-0.235
481,-1.025,-0.625
482,-0.93,-0.85
483,-0.825,-0.89
484,-0.65,-0.84
485,-0.535,-0.76
486,-0.34,-0.68
487,-0.15,-0.635
488,0.015,-0.615
489,0.195,-0.575
490,0.365,-0.56
491,0.49,-0.55
492,0.585,-0.53
493,0.615,-0.525
494,0.655,-0.53
495,0.665,-0.555
496,0.675,-0.52
497,0.675,-0.51
498,0.66,-0.51
499,0.67,-0.52
500,0.705,-0.55
501,0.73,-0.54
502,0.72,-0.565
503,0.715,-0.565
504,0.72,-0.565
505,0.735,-0.53
506,0.74,-0.51
507,0.795,-0.53
508,0.775,-0.515
509,0.785,-0.49
510,0.82,-0.48
511,0.845,-0.5
512,0.905,-0.475
513,0.935,-0.455
514,0.945,-0.465
515,0.995,-0.465
516,1.01,-0.445
517,1.045,-0.425
518,1.08,-0.44
519,1.115,-0.42
520,1.15,-0.4
521,1.15,-0.37
522,1.165,-0.385
523,1.205,-0.385
524,1.245,-0.375
525,1.265,-0.315
526,1.255,-0.325
527,1.26,-0.29
528,1.245,-0.24
529,1.27,-0.195
530,1.25,-0.195
531,1.215,-0.185
532,1.185,-0.14
533,1.105,-0.09
534,1.055,-0.055
535,0.985,-0.05
536,0.935,-0.04
537,0.87,0
538,0.815,0.02
539,0.765,-0.02
540,0.7,-0.035
541,0.65,-0.07
542,0.595,-0.08
543,0.525,-0.115
544,0.455,-0.145
545,0.41,-0.19
546,0.36,-0.215
547,0.325,-0.24
548,0.31,-0.245
549,0.275,-0.27
550,0.23,-0.295
551,0.2,-0.305
552,0.19,-0.35
553,0.165,-0.37
554,0.175,-0.38
555,0.17,-0.39
556,0.175,-0.415
557,0.15,-0.415
558,0.145,-0.395
559,0.165,-0.365
560,0.18,-0.36
561,0.155,-0.355
562,0.185,-0.35
563,0.16,-0.375
564,0.195,-0.385
565,0.19,-0.39
566,0.19,-0.39
567,0.185,-0.34
568,0.185,-0.335
569,0.215,-0.33
570,0.225,-0.325
571,0.235,-0.345
572,0.27,-0.345
573,0.255,-0.34
574,0.265,-0.39
575,0.275,-0.355
576,0.295,-0.355
577,0.26,-0.375
578,0.24,-0.415
579,0.215,-0.43
580,0.215,-0.4
581,0.18,-0.405
582,0.155,-0.435
583,0.165,-0.465
584,0.18,-0.465
585,0.13,-0.46
586,0.15,-0.475
587,0.12,-0.47
588,0.115,-0.465
589,0.115,-0.47
590,0.115,-0.46
591,0.105,-0.46
592,0.1,-0.46
593,0.135,-0.455
594,0.135,-0.47
595,0.155,-0.425
596,0.15,-0.415
597,0.17,-0.39
598,0.165,-0.37
599,0.145,-0.355
600,0.145,-0.335
601,0.16,-0.325
602,0.155,-0.31
603,0.14,-0.3
604,0.145,-0.31
605,0.13,-0.285
606,0.145,-0.295
607,0.14,-0.245
608,0.155,-0.205
609,0.13,-0.17
610,0.145,-0.18
611,0.16,-0.165
612,0.195,-0.16
613,0.21,-0.16
614,0.205,-0.155
615,0.215,-0.13
616,0.205,-0.14
617,0.21,-0.115
618,0.205,-0.09
619,0.2,-0.075
620,0.215,-0.09
621,0.17,-0.11
622,0.18,-0.1
623,0.145,-0.095
624,0.14,-0.105
625,0.125,-0.12
626,0.1,-0.095
627,0.095,-0.04
628,0.1,0.025
629,0.085,0.155
630,0.095,0.355
631,0.16,0.675
632,0.175,0.93
633,-0.005,1.105
634,-0.375,1.345
635,-0.985,1.59
636,-1.635,1.78
637,-2.155,1.845
638,-2.505,1.825
639,-2.66,1.795
640,-2.6,1.735
641,-2.46,1.655
642,-2.31,1.575
643,-2.16,1.51
644,-2.07,1.36
645,-1.915,1.2
646,-1.71,1.055
647,-1.59,0.92
648,-1.49,0.795
649,-1.35,0.63
650,-1.245,0.335
651,-1.11,-0.085
652,-0.99,-0.34
653,-0.845,-0.47
654,-0.735,-0.495
655,-0.575,-0.38
656,-0.445,-0.175
657,-0.26,-0.015
658,-0.075,0.025
659,0.11,0.085
660,0.27,0.115
661,0.44,0.085
662,0.52,0.08
663,0.61,0.075
664,0.645,0.1
665,0.675,0.09
666,0.66,0.105
667,0.645,0.13
668,0.65,0.12
669,0.65,0.1
670,0.64,0.095
671,0.63,0.085
672,0.645,0.085
673,0.645,0.12
674,0.64,0.11
675,0.615,0.105
676,0.645,0.11
677,0.66,0.105
678,0.695,0.12
679,0.735,0.095
680,0.745,0.095
681,0.77,0.08
682,0.77,0.09
683,0.82,0.095
684,0.845,0.11
685,0.845,0.115
686,0.88,0.155
687,0.94,0.155
688,0.955,0.16
689,1,0.165
690,1.01,0.22
691,1.01,0.245
692,1.05,0.26
693,1.075,0.305
694,1.115,0.33
695,1.135,0.35
696,1.155,0.36
697,1.165,0.405
698,1.14,0.48
699,1.12,0.48
700,1.115,0.51
701,1.11,0.535
702,1.055,0.58
703,1.05,0.59
704,0.965,0.615
705,0.925,0.61
706,0.84,0.635
707,0.77,0.62
708,0.72,0.615
709,0.68,0.59
710,0.625,0.56
711,0.55,0.51
712,0.485,0.465
713,0.43,0.425
714,0.375,0.42
715,0.325,0.375
716,0.28,0.345
717,0.23,0.335
718,0.195,0.35
719,0.155,0.32
720,0.15,0.295
721,0.135,0.285
722,0.155,0.285
723,0.155,0.28
724,0.155,0.26
725,0.155,0.275
726,0.15,0.3
727,0.135,0.285
728,0.145,0.255
729,0.17,0.25
730,0.155,0.28
731,0.125,0.295
732,0.135,0.34
733,0.135,0.34
734,0.165,0.335
735,0.18,0.35
736,0.2,0.34
737,0.21,0.315
738,0.21,0.325
739,0.21,0.31
740,0.205,0.315
741,0.215,0.295
742,0.21,0.315
743,0.18,0.315
744,0.175,0.32
745,0.145,0.31
746,0.125,0.27
747,0.115,0.31
748,0.095,0.3
749,0.075,0.295
750,0.08,0.315
751,0.08,0.275
752,0.075,0.29
753,0.07,0.28
754,0.1,0.23
755,0.095,0.245
756,0.09,0.26
757,0.095,0.23
758,0.105,0.22
759,0.08,0.195
760,0.065,0.2
761,0.1,0.205
762,0.08,0.19
763,0.09,0.195
764,0.11,0.205
765,0.085,0.215
766,0.075,0.2
767,0.075,0.24
768,0.075,0.22
769,0.1,0.215
770,0.115,0.2
771,0.08,0.28
772,0.065,0.33
773,0.065,0.305
774,0.095,0.315
775,0.135,0.305
776,0.145,0.315
777,0.16,0.305
778,0.17,0.315
779,0.155,0.32
780,0.16,0.365
781,0.165,0.36
782,0.155,0.33
783,0.14,0.365
784,0.125,0.385
785,0.13,0.365
786,0.14,0.32
787,0.1,0.335
788,0.11,0.345
789,0.1,0.33
790,0.105,0.29
791,0.09,0.305
792,0.085,0.295
793,0.075,0.29
794,0.045,0.255
795,0.055,0.255
796,0.025,0.25
797,0.055,0.235
798,0.05,0.235
799,0.015,0.22
800,0.06,0.195
801,0.07,0.205
802,0.08,0.215
803,0.065,0.235
804,0.085,0.22
805,0.075,0.245
806,0.09,0.235
807,0.08,0.255
808,0.07,0.285
809,0.085,0.315
810,0.105,0.38
811,0.12,0.525
812,0.145,0.755
813,0.235,1.04
814,0.29,1.265
815,0.15,1.455
816,-0.175,1.745
817,-0.79,2.055
818,-1.455,2.24
819,-1.98,2.28
820,-2.325,2.265
821,-2.395,2.25
822,-2.325,2.195
823,-2.19,2.14
824,-2.035,2.06
825,-2,1.905
826,-1.865,1.735
827,-1.685,1.565
828,-1.585,1.405
829,-1.49,1.235
830,-1.355,1.015
831,-1.205,0.635
832,-1.09,0.17
833,-0.98,-0.195
834,-0.905,-0.325
835,-0.77,-0.385
836,-0.645,-0.335
837,-0.505,-0.245
838,-0.33,-0.205
839,-0.16,-0.185
840,0.01,-0.165
841,0.19,-0.135
842,0.315,-0.155
843,0.4,-0.175
844,0.425,-0.14
845,0.475,-0.11
846,0.495,-0.095
847,0.525,-0.095
848,0.545,-0.055
849,0.58,-0.055
850,0.61,-0.055
851,0.625,-0.035
852,0.615,0.03
853,0.65,0.08
854,0.675,0.085
855,0.715,0.095
856,0.75,0.12
857,0.805,0.13
858,0.795,0.14
859,0.855,0.165
860,0.875,0.18
861,0.905,0.22
862,0.94,0.22
863,0.975,0.215
864,1.03,0.225
865,1.065,0.225
866,1.085,0.195
867,1.1,0.205
868,1.095,0.2
869,1.09,0.2
870,1.12,0.185
871,1.105,0.155
872,1.105,0.145
873,1.095,0.13
874,1.09,0.135
875,1.07,0.135
876,1.045,0.145
877,1.06,0.15
878,1.015,0.165
879,1,0.15
880,1,0.185
881,0.945,0.195
882,0.895,0.255
883,0.86,0.24
884,0.81,0.275
885,0.775,0.315
886,0.73,0.35
887,0.68,0.345
888,0.59,0.35
889,0.56,0.365
890,0.52,0.365
891,0.465,0.365
892,0.415,0.38
893,0.385,0.39
894,0.315,0.385
895,0.33,0.39
896,0.32,0.35
897,0.31,0.345
898,0.29,0.35
899,0.28,0.335
900,0.29,0.305
901,0.265,0.305
902,0.26,0.32
903,0.24,0.3
904,0.245,0.29
905,0.245,0.27
906,0.26,0.295
907,0.235,0.26
908,0.205,0.245
909,0.2,0.245
910,0.155,0.255
911,0.13,0.25
912,0.13,0.2
913,0.135,0.225
914,0.12,0.2
915,0.12,0.185
916,0.125,0.14
917,0.105,0.125
918,0.095,0.1
919,0.095,0.075
920,0.085,0.04
921,0.08,0.035
922,0.09,0.055
923,0.085,0.03
924,0.06,0
925,0.065,0.02
926,0.095,0.055
927,0.08,0.04
928,0.09,0.065
929,0.09,0.06
930,0.125,0.065
931,0.105,0.07
932,0.11,0.095
933,0.11,0.125
934,0.1,0.18
935,0.105,0.225
936,0.14,0.285
937,0.175,0.395
938,0.22,0.555
939,0.315,0.79
940,0.365,1.035
941,0.255,1.28
942,-0.085,1.545
943,-0.665,1.865
944,-1.35,2.12
945,-1.905,2.205
946,-2.26,2.2
947,-2.395,2.17
948,-2.31,2.1
949,-2.155,2.005
950,-2.005,1.91
951,-1.9,1.715
952,-1.795,1.495
953,-1.64,1.315
954,-1.55,1.1
955,-1.46,0.875
956,-1.31,0.62
957,-1.22,0.225
958,-1.09,-0.145
959,-0.985,-0.4
960,-0.895,-0.455
961,-0.775,-0.415
962,-0.625,-0.315
963,-0.485,-0.225
964,-0.28,-0.235
965,-0.08,-0.15
966,0.125,-0.105
967,0.27,-0.125
968,0.38,-0.145
969,0.45,-0.18
970,0.49,-0.145
971,0.485,-0.11
972,0.54,-0.05
973,0.555,-0.05
974,0.605,-0.005
975,0.645,-0.01
976,0.685,-0.005
977,0.695,0.02
978,0.72,0.04
979,0.75,0.035
980,0.775,0.03
981,0.785,0.015
982,0.805,0.04
983,0.82,0.05
984,0.81,0.035
985,0.82,0.06
986,0.825,0.085
987,0.815,0.06
988,0.84,0.06
989,0.86,0.03
990,0.89,0.03
991,0.9,-0.005
992,0.945,-0.01
993,0.95,-0.015
994,0.945,-0.025
995,0.965,-0.045
996,0.985,-0.04
997,1,-0.04
998,1.025,-0.045
999,1,-0.06
1000,1.005,-0.035
1001,1.005,0
1002,0.99,0.01
1003,0.95,0.06
1004,0.925,0.08
1005,0.885,0.145
1006,0.9,0.195
1007,0.83,0.215
1008,0.79,0.235
1009,0.745,0.235
1010,0.715,0.27
1011,0.645,0.32
1012,0.61,0.325
1013,0.57,0.325
1014,0.525,0.33
1015,0.485,0.315
1016,0.45,0.31
1017,0.415,0.275
1018,0.38,0.265
1019,0.36,0.285
1020,0.35,0.27
1021,0.34,0.255
1022,0.33,0.23
1023,0.335,0.245
1024,0.3,0.215
1025,0.275,0.205
1026,0.25,0.19
1027,0.18,0.18
1028,0.15,0.145
1029,0.17,0.12
1030,0.15,0.13
1031,0.1,0.115
1032,0.08,0.09
1033,0.055,0.105
1034,0.025,0.105
1035,0.035,0.095
1036,0.045,0.055
1037,0.045,0.04
1038,0.05,0.035
1039,0.03,0.045
1040,0.055,0.03
1041,0.06,0.03
1042,0.055,0.03
1043,0.045,0.025
1044,0.06,0.035
1045,0.06,0.05
1046,0.075,0.09
1047,0.065,0.055
1048,0.085,0.055
1049,0.1,0.05
1050,0.08,0.105
1051,0.09,0.145
1052,0.09,0.16
1053,0.085,0.17
1054,0.14,0.175
1055,0.16,0.155
1056,0.15,0.16
1057,0.165,0.17
1058,0.175,0.175
1059,0.16,0.195
1060,0.18,0.155
1061,0.175,0.16
1062,0.17,0.17
1063,0.185,0.155
1064,0.165,0.155
1065,0.135,0.145
1066,0.135,0.135
1067,0.125,0.135
1068,0.105,0.11
1069,0.095,0.1
1070,0.09,0.075
1071,0.055,0.08
1072,0.075,0.055
1073,0.065,0.06
1074,0.05,0.04
1075,0.04,0.03
1076,0.025,-0.01
1077,0,-0.03
1078,0.03,-0.04
1079,0.02,-0.04
1080,0.015,-0.04
1081,0.01,-0.035
1082,0.01,-0.035
1083,0.02,-0.01
1084,0.02,0
1085,0.02,0.02
1086,0.04,0.035
1087,0.035,0.02
1088,0.045,0.015
1089,0.045,0.05
1090,0.06,0.115
1091,0.045,0.14
1092,0.06,0.125
1093,0.095,0.145
1094,0.14,0.15
1095,0.12,0.185
1096,0.145,0.155
1097,0.14,0.135
1098,0.145,0.15
1099,0.16,0.16
1100,0.17,0.135
1101,0.165,0.15
1102,0.16,0.16
1103,0.14,0.165
1104,0.135,0.18
1105,0.11,0.145
1106,0.115,0.17
1107,0.11,0.155
1108,0.12,0.12
1109,0.075,0.12
1110,0.09,0.12
1111,0.065,0.085
1112,0.06,0.075
1113,0.065,0.095
1114,0.04,0.1
1115,0.05,0.065
1116,0.06,0.03
1117,0.06,0.02
1118,0.07,0.03
1119,0.085,0.02
1120,0.065,0.005
1121,0.075,-0.015
1122,0.05,-0.01
1123,0.06,-0.01
1124,0.05,-0.015
1125,0.05,0.01
1126,0.04,0.01
1127,0.045,-0.005
1128,0.05,0.01
1129,0.065,0.04
1130,0.08,0.125
1131,0.065,0.215
1132,0.095,0.345
1133,0.185,0.515
1134,0.265,0.775
1135,0.285,0.975
1136,0.125,1.115
1137,-0.21,1.305
1138,-0.81,1.585
1139,-1.445,1.83
1140,-1.98,1.99
1141,-2.37,2.04
1142,-2.505,2.015
1143,-2.42,2.015
1144,-2.265,1.94
1145,-2.09,1.85
1146,-1.975,1.705
1147,-1.85,1.555
1148,-1.68,1.39
1149,-1.545,1.23
1150,-1.465,1.08
1151,-1.35,0.945
1152,-1.23,0.705
1153,-1.105,0.315
1154,-0.985,-0.11
1155,-0.88,-0.375
1156,-0.79,-0.49
1157,-0.675,-0.525
1158,-0.53,-0.45
1159,-0.38,-0.345
1160,-0.215,-0.315
1161,-0.065,-0.29
1162,0.125,-0.27
1163,0.295,-0.24
1164,0.42,-0.25
1165,0.485,-0.24
1166,0.51,-0.23
1167,0.58,-0.215
1168,0.58,-0.22
1169,0.6,-0.215
1170,0.635,-0.185
1171,0.655,-0.145
1172,0.68,-0.125
1173,0.72,-0.14
1174,0.75,-0.135
1175,0.77,-0.09
1176,0.8,-0.08
1177,0.8,-0.085
1178,0.83,-0.07
1179,0.865,-0.04
1180,0.865,-0.02
1181,0.905,-0.02
1182,0.945,-0.02
1183,0.97,-0.02
1184,0.99,-0.03
1185,0.985,-0.035
1186,0.99,-0.03
1187,1.025,-0.015
1188,1.02,-0.04
1189,1.02,-0.03
1190,1.015,-0.03
1191,1.05,-0.03
1192,1.075,-0.05
1193,1.09,-0.065
1194,1.1,-0.06
1195,1.11,-0.03
1196,1.14,-0.03
1197,1.165,-0.08
1198,1.15,-0.06
1199,1.18,0
1200,1.15,-0.01
1201,1.12,0.01
1202,1.1,0.05
1203,1.075,0.11
1204,1.02,0.135
1205,0.96,0.185
1206,0.935,0.215
1207,0.875,0.265
1208,0.835,0.28
1209,0.77,0.32
1210,0.725,0.345
1211,0.67,0.375
1212,0.615,0.395
1213,0.585,0.37
1214,0.54,0.35
1215,0.505,0.335
1216,0.485,0.325
1217,0.44,0.315
1218,0.385,0.285
1219,0.385,0.275
1220,0.345,0.26
1221,0.345,0.23
1222,0.335,0.19
1223,0.31,0.165
1224,0.295,0.14
1225,0.28,0.145
1226,0.25,0.115
1227,0.23,0.085
1228,0.2,0.06
1229,0.185,0.045
1230,0.15,0
1231,0.13,-0.025
1232,0.1,-0.025
1233,0.045,-0.04
1234,0.035,-0.055
1235,0.03,-0.055
1236,0.03,-0.07
1237,0.035,-0.095
1238,0.055,-0.1
1239,0.035,-0.095
1240,0.07,-0.12
1241,0.07,-0.1
1242,0.06,-0.11
1243,0.09,-0.055
1244,0.095,-0.06
1245,0.085,-0.06
1246,0.105,-0.085
1247,0.135,-0.06
1248,0.15,-0.03
1249,0.155,0.04
1250,0.14,0.16
1251,0.155,0.325
1252,0.185,0.455
1253,0.365,0.64
1254,0.45,0.815
1255,0.325,0.99
1256,-0.005,1.21
1257,-0.66,1.45
1258,-1.34,1.635
1259,-1.875,1.72
1260,-2.295,1.72
1261,-2.44,1.67
1262,-2.39,1.59
1263,-2.235,1.5
1264,-2.11,1.41
1265,-2.04,1.225
1266,-1.92,0.995
1267,-1.75,0.77
1268,-1.625,0.495
1269,-1.53,0.225
1270,-1.405,-0.105
1271,-1.28,-0.5
1272,-1.22,-0.79
1273,-1.13,-0.905
1274,-1.025,-0.895
1275,-0.925,-0.775
1276,-0.8,-0.625
1277,-0.605,-0.51
1278,-0.385,-0.465
1279,-0.15,-0.425
1280,0.025,-0.395
