0rder,ECG1,ECG2
338,-0.905,-0.5
339,-0.735,-0.51
340,-0.56,-0.495
341,-0.38,-0.495
342,-0.185,-0.455
343,-0.025,-0.445
344,0.11,-0.45
345,0.215,-0.46
346,0.255,-0.46
347,0.31,-0.42
348,0.33,-0.43
349,0.355,-0.43
350,0.37,-0.425
351,0.38,-0.41
352,0.405,-0.405
353,0.42,-0.415
354,0.425,-0.41
355,0.46,-0.39
356,0.445,-0.39
357,0.47,-0.39
358,0.485,-0.385
359,0.495,-0.39
360,0.495,-0.39
361,0.535,-0.39
362,0.55,-0.39
363,0.56,-0.39
364,0.585,-0.38
365,0.595,-0.39
366,0.62,-0.405
367,0.62,-0.415
368,0.635,-0.425
369,0.675,-0.45
370,0.72,-0.46
371,0.725,-0.485
372,0.765,-0.49
373,0.77,-0.52
374,0.825,-0.535
375,0.845,-0.535
376,0.86,-0.57
377,0.875,-0.55
378,0.89,-0.575
379,0.91,-0.58
380,0.93,-0.58
381,0.91,-0.57
382,0.905,-0.56
383,0.9,-0.545
384,0.875,-0.505
385,0.88,-0.48
386,0.825,-0.435
387,0.79,-0.395
388,0.765,-0.35
389,0.715,-0.305
390,0.69,-0.27
391,0.595,-0.23
392,0.545,-0.19
393,0.48,-0.165
394,0.42,-0.14
395,0.38,-0.135
396,0.33,-0.14
397,0.28,-0.14
398,0.225,-0.14
399,0.17,-0.155
400,0.135,-0.15
401,0.095,-0.17
402,0.075,-0.175
403,0.05,-0.16
404,0.035,-0.175
405,0.015,-0.175
406,0,-0.175
407,-0.025,-0.19
408,-0.035,-0.2
409,-0.05,-0.22
410,-0.06,-0.195
411,-0.025,-0.205
412,-0.035,-0.22
413,-0.06,-0.225
414,-0.05,-0.21
415,-0.04,-0.22
416,-0.055,-0.23
417,-0.05,-0.24
418,-0.05,-0.25
419,-0.035,-0.22
420,-0.045,-0.23
421,-0.06,-0.25
422,-0.02,-0.255
423,-0.055,-0.255
424,-0.045,-0.25
425,-0.04,-0.225
426,-0.025,-0.255
427,-0.045,-0.245
428,-0.05,-0.235
429,-0.04,-0.235
430,-0.035,-0.25
431,-0.04,-0.255
432,-0.05,-0.255
433,-0.06,-0.25
434,-0.045,-0.255
435,-0.07,-0.255
436,-0.055,-0.255
437,-0.055,-0.25
438,-0.055,-0.265
439,-0.055,-0.255
440,-0.06,-0.245
441,-0.055,-0.245
442,-0.055,-0.265
443,-0.07,-0.25
444,-0.08,-0.245
445,-0.09,-0.245
446,-0.105,-0.24
447,-0.085,-0.25
448,-0.105,-0.25
449,-0.095,-0.24
450,-0.1,-0.24
451,-0.095,-0.23
452,-0.095,-0.205
453,-0.075,-0.23
454,-0.09,-0.235
455,-0.105,-0.225
456,-0.105,-0.205
457,-0.095,-0.22
458,-0.095,-0.22
459,-0.125,-0.225
460,-0.13,-0.2
461,-0.115,-0.215
462,-0.105,-0.225
463,-0.135,-0.215
464,-0.11,-0.205
465,-0.105,-0.21
466,-0.11,-0.18
467,-0.1,-0.22
468,-0.1,-0.22
469,-0.12,-0.21
470,-0.13,-0.21
471,-0.12,-0.21
472,-0.13,-0.21
473,-0.135,-0.205
474,-0.13,-0.185
475,-0.13,-0.16
476,-0.12,-0.11
477,-0.125,-0.1
478,-0.095,-0.075
479,-0.06,-0.045
480,-0.03,-0.03
481,-0.04,0
482,-0.015,-0.005
483,0.045,0.005
484,0.04,-0.01
485,0.04,-0.055
486,0.03,-0.08
487,0,-0.065
488,-0.05,-0.075
489,-0.09,-0.115
490,-0.12,-0.135
491,-0.1,-0.13
492,-0.145,-0.135
493,-0.18,-0.19
494,-0.185,-0.245
495,-0.19,-0.27
496,-0.2,-0.265
497,-0.19,-0.255
498,-0.21,-0.29
499,-0.195,-0.275
500,-0.2,-0.255
501,-0.205,-0.285
502,-0.215,-0.275
503,-0.19,-0.27
504,-0.215,-0.265
505,-0.205,-0.295
506,-0.22,-0.28
507,-0.215,-0.27
508,-0.2,-0.265
509,-0.195,-0.28
510,-0.195,-0.27
511,-0.185,-0.26
512,-0.225,-0.27
513,-0.22,-0.28
514,-0.22,-0.275
515,-0.205,-0.28
516,-0.21,-0.25
517,-0.215,-0.255
518,-0.21,-0.225
519,-0.21,-0.16
520,-0.2,-0.045
521,-0.215,0.11
522,-0.145,0.345
523,-0.07,0.655
524,-0.055,0.895
525,-0.36,1.045
526,-0.795,1.27
527,-1.53,1.535
528,-2.31,1.79
529,-2.88,1.855
530,-3.18,1.84
531,-3.195,1.805
532,-3.065,1.74
533,-2.9,1.58
534,-2.725,1.435
535,-2.615,1.29
536,-2.46,1.16
537,-2.265,1.15
538,-2.105,1.29
539,-2,1.535
540,-1.86,1.58
541,-1.71,1.255
542,-1.565,0.645
543,-1.43,0.055
544,-1.29,-0.32
545,-1.165,-0.5
546,-1.005,-0.52
547,-0.825,-0.505
548,-0.625,-0.505
549,-0.445,-0.5
550,-0.215,-0.445
551,-0.025,-0.41
552,0.115,-0.415
553,0.175,-0.435
554,0.24,-0.425
555,0.275,-0.41
556,0.295,-0.395
557,0.315,-0.39
558,0.345,-0.375
559,0.37,-0.37
560,0.36,-0.39
561,0.385,-0.375
562,0.395,-0.36
563,0.41,-0.355
564,0.425,-0.36
565,0.435,-0.38
566,0.44,-0.36
567,0.465,-0.365
568,0.465,-0.375
569,0.495,-0.375
570,0.525,-0.365
571,0.535,-0.37
572,0.565,-0.395
573,0.585,-0.405
574,0.61,-0.395
575,0.625,-0.405
576,0.675,-0.445
577,0.7,-0.45
578,0.71,-0.475
579,0.755,-0.47
580,0.775,-0.49
581,0.81,-0.5
582,0.84,-0.505
583,0.86,-0.515
584,0.865,-0.53
585,0.875,-0.545
586,0.89,-0.535
587,0.92,-0.525
588,0.89,-0.535
589,0.895,-0.53
590,0.875,-0.48
591,0.875,-0.45
592,0.825,-0.395
593,0.775,-0.355
594,0.745,-0.32
595,0.675,-0.3
596,0.64,-0.245
597,0.6,-0.235
598,0.52,-0.18
599,0.465,-0.14
600,0.43,-0.155
601,0.365,-0.125
602,0.325,-0.125
603,0.28,-0.12
604,0.24,-0.15
605,0.165,-0.155
606,0.13,-0.15
607,0.09,-0.13
608,0.06,-0.15
609,0.005,-0.15
610,0.01,-0.15
611,-0.015,-0.175
612,-0.015,-0.185
613,-0.025,-0.2
614,-0.02,-0.165
615,-0.045,-0.18
616,-0.055,-0.2
617,-0.06,-0.165
618,-0.045,-0.19
619,-0.04,-0.2
620,-0.055,-0.195
621,-0.06,-0.205
622,-0.045,-0.215
623,-0.05,-0.215
624,-0.035,-0.235
625,-0.045,-0.235
626,-0.07,-0.24
627,-0.06,-0.25
628,-0.065,-0.23
629,-0.085,-0.245
630,-0.05,-0.24
631,-0.05,-0.215
632,-0.07,-0.205
633,-0.07,-0.245
634,-0.06,-0.23
635,-0.06,-0.25
636,-0.065,-0.245
637,-0.055,-0.24
638,-0.05,-0.255
639,-0.035,-0.23
640,-0.055,-0.25
641,-0.065,-0.255
642,-0.055,-0.235
643,-0.065,-0.245
644,-0.06,-0.245
645,-0.04,-0.25
646,-0.05,-0.24
647,-0.07,-0.24
648,-0.075,-0.25
649,-0.075,-0.24
650,-0.08,-0.24
651,-0.1,-0.23
652,-0.105,-0.245
653,-0.115,-0.24
654,-0.12,-0.235
655,-0.12,-0.22
656,-0.1,-0.235
657,-0.1,-0.23
658,-0.125,-0.21
659,-0.135,-0.22
660,-0.125,-0.23
661,-0.145,-0.235
662,-0.135,-0.215
663,-0.12,-0.215
664,-0.14,-0.215
665,-0.125,-0.2
666,-0.115,-0.205
667,-0.125,-0.21
668,-0.135,-0.22
669,-0.15,-0.2
670,-0.135,-0.195
671,-0.135,-0.21
672,-0.12,-0.22
673,-0.135,-0.215
674,-0.13,-0.2
675,-0.12,-0.2
676,-0.13,-0.22
677,-0.14,-0.21
678,-0.15,-0.2
679,-0.135,-0.2
680,-0.13,-0.195
681,-0.14,-0.18
682,-0.155,-0.175
683,-0.13,-0.165
684,-0.15,-0.14
685,-0.145,-0.105
686,-0.13,-0.06
687,-0.105,-0.05
688,-0.08,-0.05
689,-0.055,-0.025
690,-0.035,0
691,-0.005,0
692,0.005,-0.01
693,0.025,-0.02
694,0.03,-0.065
695,-0.01,-0.085
696,-0.04,-0.085
697,-0.07,-0.11
698,-0.115,-0.135
699,-0.13,-0.155
700,-0.13,-0.15
701,-0.19,-0.18
702,-0.21,-0.21
703,-0.225,-0.225
704,-0.2,-0.275
705,-0.18,-0.25
706,-0.21,-0.25
707,-0.19,-0.26
708,-0.22,-0.285
709,-0.21,-0.265
710,-0.215,-0.28
711,-0.23,-0.255
712,-0.245,-0.25
713,-0.225,-0.255
714,-0.235,-0.27
715,-0.23,-0.285
716,-0.225,-0.25
717,-0.22,-0.235
718,-0.235,-0.26
719,-0.23,-0.24
720,-0.21,-0.26
721,-0.22,-0.26
722,-0.235,-0.26
723,-0.215,-0.235
724,-0.22,-0.24
725,-0.23,-0.225
726,-0.235,-0.19
727,-0.235,-0.19
728,-0.24,-0.105
729,-0.23,0.05
730,-0.195,0.285
731,-0.13,0.625
732,-0.06,0.94
733,-0.2,1.155
734,-0.58,1.375
735,-1.145,1.625
736,-1.93,1.895
737,-2.61,2.075
738,-3.02,2.07
739,-3.19,2.05
740,-3.1,1.94
741,-2.97,1.795
742,-2.755,1.605
743,-2.59,1.47
744,-2.52,1.35
745,-2.35,1.275
746,-2.17,1.38
747,-2.03,1.55
748,-1.945,1.79
749,-1.82,1.84
750,-1.68,1.53
751,-1.55,0.92
752,-1.42,0.385
753,-1.275,-0.02
754,-1.13,-0.27
755,-0.97,-0.41
756,-0.81,-0.495
757,-0.65,-0.525
758,-0.425,-0.5
759,-0.26,-0.47
760,-0.08,-0.47
761,0.03,-0.46
762,0.125,-0.46
763,0.19,-0.47
764,0.22,-0.465
765,0.235,-0.45
766,0.275,-0.43
767,0.285,-0.41
768,0.285,-0.42
769,0.31,-0.425
770,0.325,-0.42
771,0.345,-0.39
772,0.355,-0.4
773,0.355,-0.385
774,0.375,-0.375
775,0.38,-0.38
776,0.38,-0.38
777,0.4,-0.365
778,0.41,-0.38
779,0.415,-0.365
780,0.445,-0.385
781,0.47,-0.37
782,0.49,-0.37
783,0.51,-0.38
784,0.52,-0.4
785,0.545,-0.405
786,0.565,-0.42
787,0.58,-0.42
788,0.65,-0.44
789,0.655,-0.475
790,0.69,-0.485
791,0.72,-0.52
792,0.71,-0.54
793,0.74,-0.51
794,0.75,-0.515
795,0.78,-0.52
796,0.76,-0.54
797,0.795,-0.55
798,0.79,-0.52
799,0.795,-0.5
800,0.76,-0.45
801,0.75,-0.42
802,0.695,-0.385
803,0.65,-0.345
804,0.625,-0.32
805,0.58,-0.285
806,0.53,-0.245
807,0.47,-0.205
808,0.44,-0.19
809,0.37,-0.15
810,0.31,-0.13
811,0.25,-0.14
812,0.2,-0.14
813,0.155,-0.125
814,0.105,-0.12
815,0.055,-0.125
816,0.01,-0.15
817,-0.02,-0.16
818,-0.05,-0.175
819,-0.085,-0.195
820,-0.105,-0.205
821,-0.125,-0.205
822,-0.15,-0.18
823,-0.15,-0.22
824,-0.165,-0.19
825,-0.175,-0.195
826,-0.17,-0.195
827,-0.17,-0.21
828,-0.18,-0.225
829,-0.18,-0.225
830,-0.21,-0.24
831,-0.19,-0.24
832,-0.22,-0.24
833,-0.2,-0.22
834,-0.215,-0.23
835,-0.2,-0.23
836,-0.19,-0.25
837,-0.175,-0.265
838,-0.17,-0.25
839,-0.18,-0.265
840,-0.17,-0.29
841,-0.19,-0.28
842,-0.18,-0.285
843,-0.185,-0.285
844,-0.18,-0.3
845,-0.185,-0.29
846,-0.19,-0.275
847,-0.19,-0.3
848,-0.19,-0.295
849,-0.17,-0.29
850,-0.16,-0.27
851,-0.195,-0.295
852,-0.17,-0.295
853,-0.18,-0.285
854,-0.175,-0.275
855,-0.18,-0.28
856,-0.18,-0.28
857,-0.2,-0.305
858,-0.185,-0.29
859,-0.18,-0.3
860,-0.19,-0.31
861,-0.17,-0.3
862,-0.19,-0.275
863,-0.185,-0.26
864,-0.2,-0.28
865,-0.21,-0.275
866,-0.2,-0.27
867,-0.225,-0.265
868,-0.215,-0.27
869,-0.21,-0.255
870,-0.23,-0.265
871,-0.25,-0.27
872,-0.23,-0.265
873,-0.22,-0.27
874,-0.215,-0.265
875,-0.21,-0.24
876,-0.23,-0.225
877,-0.22,-0.25
878,-0.23,-0.25
879,-0.235,-0.245
880,-0.225,-0.245
881,-0.24,-0.25
882,-0.245,-0.26
883,-0.235,-0.26
884,-0.25,-0.24
885,-0.245,-0.24
886,-0.24,-0.205
887,-0.245,-0.235
888,-0.25,-0.23
889,-0.24,-0.245
890,-0.24,-0.24
891,-0.23,-0.23
892,-0.25,-0.225
893,-0.255,-0.225
894,-0.26,-0.22
895,-0.245,-0.2
896,-0.24,-0.19
897,-0.25,-0.13
898,-0.25,-0.135
899,-0.23,-0.1
900,-0.19,-0.07
901,-0.155,-0.06
902,-0.13,-0.04
903,-0.12,0
904,-0.1,-0.02
905,-0.08,-0.01
906,-0.08,-0.03
907,-0.05,-0.065
908,-0.07,-0.12
909,-0.125,-0.1
910,-0.18,-0.1
911,-0.2,-0.14
912,-0.205,-0.15
913,-0.21,-0.145
914,-0.23,-0.18
915,-0.305,-0.195
916,-0.305,-0.22
917,-0.345,-0.265
918,-0.325,-0.28
919,-0.3,-0.29
920,-0.295,-0.27
921,-0.295,-0.275
922,-0.315,-0.28
923,-0.315,-0.275
924,-0.35,-0.255
925,-0.31,-0.275
926,-0.3,-0.285
927,-0.31,-0.285
928,-0.32,-0.265
929,-0.3,-0.26
930,-0.315,-0.275
931,-0.31,-0.255
932,-0.315,-0.26
933,-0.3,-0.255
934,-0.32,-0.26
935,-0.32,-0.265
936,-0.31,-0.245
937,-0.315,-0.24
938,-0.33,-0.24
939,-0.34,-0.26
940,-0.31,-0.25
941,-0.325,-0.2
942,-0.32,-0.11
943,-0.32,0.03
944,-0.3,0.28
945,-0.22,0.635
946,-0.15,1
947,-0.265,1.24
948,-0.6,1.475
949,-1.1,1.74
950,-1.85,2
951,-2.525,2.195
952,-3,2.205
953,-3.2,2.18
954,-3.2,2.11
955,-3.07,1.96
956,-2.89,1.795
957,-2.69,1.675
958,-2.54,1.555
959,-2.435,1.47
960,-2.18,1.545
961,-2.09,1.7
962,-2.005,1.96
963,-1.88,2.115
964,-1.76,1.945
965,-1.63,1.42
966,-1.515,0.79
967,-1.395,0.25
968,-1.255,-0.125
969,-1.1,-0.37
970,-0.96,-0.485
971,-0.8,-0.54
972,-0.615,-0.57
973,-0.42,-0.53
974,-0.28,-0.49
975,-0.12,-0.49
976,-0.005,-0.51
977,0.06,-0.525
978,0.11,-0.52
979,0.14,-0.52
980,0.17,-0.51
981,0.19,-0.5
982,0.195,-0.485
983,0.205,-0.49
984,0.235,-0.49
985,0.235,-0.49
986,0.265,-0.485
987,0.265,-0.475
988,0.285,-0.465
989,0.27,-0.47
990,0.3,-0.465
991,0.34,-0.475
992,0.34,-0.445
993,0.32,-0.46
994,0.345,-0.46
995,0.36,-0.45
996,0.38,-0.46
997,0.41,-0.475
998,0.44,-0.465
999,0.46,-0.5
1000,0.49,-0.495
1001,0.475,-0.53
1002,0.51,-0.535
1003,0.54,-0.54
1004,0.595,-0.555
1005,0.595,-0.58
1006,0.6,-0.61
1007,0.63,-0.59
1008,0.655,-0.64
1009,0.685,-0.625
1010,0.685,-0.66
1011,0.75,-0.655
1012,0.76,-0.64
1013,0.73,-0.65
1014,0.735,-0.63
1015,0.73,-0.6
1016,0.72,-0.58
1017,0.735,-0.55
1018,0.66,-0.54
1019,0.655,-0.47
1020,0.615,-0.435
1021,0.595,-0.385
1022,0.555,-0.34
1023,0.5,-0.305
1024,0.43,-0.265
1025,0.41,-0.245
1026,0.34,-0.235
1027,0.315,-0.22
1028,0.27,-0.195
1029,0.205,-0.19
1030,0.145,-0.21
1031,0.105,-0.215
1032,0.045,-0.205
1033,0.035,-0.21
1034,-0.015,-0.23
1035,-0.045,-0.225
1036,-0.07,-0.22
1037,-0.095,-0.23
1038,-0.125,-0.265
1039,-0.13,-0.25
1040,-0.15,-0.24
1041,-0.135,-0.23
1042,-0.15,-0.245
1043,-0.15,-0.245
1044,-0.15,-0.26
1045,-0.16,-0.24
1046,-0.18,-0.27
1047,-0.16,-0.265
1048,-0.165,-0.28
1049,-0.16,-0.27
1050,-0.155,-0.28
1051,-0.16,-0.285
1052,-0.16,-0.275
1053,-0.15,-0.285
1054,-0.12,-0.28
1055,-0.16,-0.295
1056,-0.15,-0.295
1057,-0.16,-0.295
1058,-0.14,-0.31
1059,-0.145,-0.315
1060,-0.155,-0.335
1061,-0.155,-0.31
1062,-0.14,-0.315
1063,-0.13,-0.3
1064,-0.145,-0.33
1065,-0.15,-0.315
1066,-0.13,-0.305
1067,-0.135,-0.315
1068,-0.145,-0.32
1069,-0.16,-0.31
1070,-0.175,-0.31
1071,-0.145,-0.31
1072,-0.155,-0.33
1073,-0.16,-0.305
1074,-0.15,-0.29
1075,-0.13,-0.295
1076,-0.145,-0.305
1077,-0.14,-0.32
1078,-0.14,-0.305
1079,-0.145,-0.285
1080,-0.13,-0.31
1081,-0.165,-0.29
1082,-0.165,-0.285
1083,-0.13,-0.3
1084,-0.175,-0.29
1085,-0.16,-0.305
1086,-0.17,-0.27
1087,-0.17,-0.3
1088,-0.17,-0.285
1089,-0.155,-0.27
1090,-0.16,-0.27
1091,-0.17,-0.275
1092,-0.18,-0.29
1093,-0.185,-0.285
1094,-0.165,-0.275
1095,-0.15,-0.28
1096,-0.16,-0.29
1097,-0.155,-0.25
1098,-0.125,-0.275
1099,-0.155,-0.25
1100,-0.155,-0.25
1101,-0.155,-0.265
1102,-0.165,-0.285
1103,-0.155,-0.23
1104,-0.145,-0.265
1105,-0.12,-0.25
1106,-0.16,-0.24
1107,-0.16,-0.235
1108,-0.14,-0.245
1109,-0.17,-0.24
1110,-0.15,-0.235
1111,-0.145,-0.23
1112,-0.14,-0.185
1113,-0.16,-0.145
1114,-0.14,-0.145
1115,-0.14,-0.095
1116,-0.06,-0.075
1117,-0.055,-0.055
1118,-0.02,-0.03
1119,-0.01,-0.01
1120,0.01,-0.005
1121,0.05,-0.03
1122,0.03,-0.045
1123,0.045,-0.085
1124,0.01,-0.085
1125,0,-0.09
1126,-0.045,-0.12
1127,-0.08,-0.13
1128,-0.1,-0.135
1129,-0.08,-0.14
1130,-0.09,-0.175
1131,-0.14,-0.205
1132,-0.16,-0.25
1133,-0.18,-0.27
1134,-0.185,-0.29
1135,-0.16,-0.28
1136,-0.185,-0.275
1137,-0.165,-0.265
1138,-0.175,-0.275
1139,-0.18,-0.275
1140,-0.19,-0.29
1141,-0.18,-0.265
1142,-0.19,-0.27
1143,-0.195,-0.28
1144,-0.19,-0.27
1145,-0.17,-0.25
1146,-0.205,-0.26
1147,-0.205,-0.26
1148,-0.2,-0.26
1149,-0.19,-0.265
1150,-0.2,-0.275
1151,-0.2,-0.255
1152,-0.19,-0.255
1153,-0.19,-0.265
1154,-0.205,-0.27
1155,-0.195,-0.245
1156,-0.19,-0.24
1157,-0.195,-0.205
1158,-0.185,-0.165
1159,-0.195,-0.045
1160,-0.19,0.12
1161,-0.135,0.34
1162,-0.065,0.645
1163,-0.05,0.91
1164,-0.275,1.09
1165,-0.65,1.315
1166,-1.275,1.57
1167,-2.02,1.81
1168,-2.7,1.9
1169,-3.075,1.905
1170,-3.155,1.875
1171,-3.095,1.83
1172,-2.945,1.685
1173,-2.75,1.565
1174,-2.62,1.445
1175,-2.485,1.325
1176,-2.325,1.29
1177,-2.15,1.36
1178,-2.04,1.54
1179,-1.905,1.76
1180,-1.795,1.735
1181,-1.655,1.36
1182,-1.52,0.75
1183,-1.405,0.16
1184,-1.29,-0.215
1185,-1.13,-0.415
1186,-0.985,-0.465
1187,-0.84,-0.47
1188,-0.655,-0.52
