'sample interval','ECG1','ECG2'
180187,0.005,-0.420
180188,0.000,-0.415
180189,0.000,-0.410
180190,0.000,-0.400
180191,0.020,-0.405
180192,-0.035,-0.415
180193,-0.005,-0.415
180194,0.000,-0.405
180195,0.000,-0.400
180196,0.010,-0.390
180197,0.010,-0.425
180198,0.005,-0.425
180199,0.000,-0.400
180200,-0.005,-0.400
180201,0.000,-0.395
180202,0.030,-0.400
180203,0.005,-0.410
180204,0.015,-0.350
180205,0.005,-0.335
180206,0.010,-0.200
180207,0.020,-0.030
180208,0.060,0.215
180209,0.155,0.595
180210,0.190,0.975
180211,0.015,1.235
180212,-0.305,1.395
180213,-0.785,1.525
180214,-1.465,1.710
180215,-2.155,1.905
180216,-2.620,1.910
180217,-2.840,1.795
180218,-2.845,1.635
180219,-2.715,1.420
180220,-2.535,1.210
180221,-2.375,0.990
180222,-2.300,0.850
180223,-2.160,0.770
180224,-2.005,0.820
180225,-1.885,1.040
180226,-1.735,1.305
180227,-1.615,1.410
180228,-1.475,1.160
180229,-1.300,0.630
180230,-1.190,0.075
180231,-1.055,-0.320
180232,-0.920,-0.565
180233,-0.745,-0.670
180234,-0.580,-0.685
180235,-0.440,-0.685
180236,-0.240,-0.635
180237,-0.055,-0.590
180238,0.105,-0.575
180239,0.235,-0.555
180240,0.350,-0.540
180241,0.440,-0.555
180242,0.470,-0.545
180243,0.495,-0.520
180244,0.510,-0.540
180245,0.525,-0.500
180246,0.545,-0.495
180247,0.555,-0.485
180248,0.575,-0.480
180249,0.580,-0.485
180250,0.585,-0.470
180251,0.590,-0.440
180252,0.590,-0.420
180253,0.605,-0.405
180254,0.605,-0.395
180255,0.635,-0.400
180256,0.645,-0.390
180257,0.645,-0.390
180258,0.645,-0.385
180259,0.680,-0.365
180260,0.700,-0.405
180261,0.705,-0.405
180262,0.745,-0.400
180263,0.755,-0.425
180264,0.790,-0.395
180265,0.820,-0.425
180266,0.810,-0.440
180267,0.865,-0.465
180268,0.875,-0.480
180269,0.895,-0.500
180270,0.940,-0.500
180271,0.980,-0.525
180272,1.000,-0.525
180273,1.000,-0.530
180274,1.000,-0.540
180275,1.030,-0.550
180276,1.055,-0.530
180277,1.065,-0.525
180278,1.075,-0.535
180279,1.075,-0.500
180280,1.040,-0.490
180281,1.025,-0.465
180282,1.020,-0.435
180283,0.995,-0.385
180284,0.935,-0.340
180285,0.940,-0.330
180286,0.875,-0.315
180287,0.850,-0.265
180288,0.790,-0.250
180289,0.735,-0.225
180290,0.680,-0.215
180291,0.625,-0.215
180292,0.590,-0.195
180293,0.545,-0.200
180294,0.475,-0.225
180295,0.445,-0.240
180296,0.410,-0.250
180297,0.350,-0.250
180298,0.315,-0.240
180299,0.275,-0.280
180300,0.245,-0.280
180301,0.190,-0.270
180302,0.205,-0.280
180303,0.185,-0.300
180304,0.170,-0.305
180305,0.150,-0.290
180306,0.140,-0.315
180307,0.135,-0.315
180308,0.125,-0.310
180309,0.105,-0.305
180310,0.110,-0.315
180311,0.110,-0.350
180312,0.105,-0.350
180313,0.100,-0.340
180314,0.115,-0.365
180315,0.095,-0.385
180316,0.120,-0.375
180317,0.115,-0.390
180318,0.115,-0.370
180319,0.120,-0.385
180320,0.130,-0.370
180321,0.110,-0.385
180322,0.105,-0.400
180323,0.105,-0.395
180324,0.110,-0.415
180325,0.125,-0.420
180326,0.135,-0.410
180327,0.125,-0.410
180328,0.150,-0.420
180329,0.115,-0.430
180330,0.105,-0.410
180331,0.110,-0.425
180332,0.120,-0.440
180333,0.120,-0.420
180334,0.100,-0.445
180335,0.105,-0.445
180336,0.100,-0.445
180337,0.115,-0.430
180338,0.110,-0.415
180339,0.105,-0.400
180340,0.105,-0.435
180341,0.105,-0.405
180342,0.095,-0.410
180343,0.085,-0.410
180344,0.085,-0.405
180345,0.095,-0.425
180346,0.065,-0.425
180347,0.075,-0.415
180348,0.095,-0.425
180349,0.070,-0.400
180350,0.050,-0.405
180351,0.060,-0.425
180352,0.060,-0.385
180353,0.045,-0.425
180354,0.045,-0.415
180355,0.045,-0.400
180356,0.050,-0.390
180357,0.050,-0.410
180358,0.060,-0.400
180359,0.055,-0.395
180360,0.035,-0.410
180361,0.060,-0.400
180362,0.055,-0.380
180363,0.055,-0.375
180364,0.055,-0.400
180365,0.050,-0.400
180366,0.035,-0.390
180367,0.040,-0.385
180368,0.050,-0.410
180369,0.060,-0.395
180370,0.065,-0.370
180371,0.030,-0.370
180372,0.035,-0.375
180373,0.060,-0.395
180374,0.050,-0.380
180375,0.045,-0.370
180376,0.060,-0.360
180377,0.060,-0.400
180378,0.050,-0.385
180379,0.060,-0.370
180380,0.045,-0.390
180381,0.055,-0.385
180382,0.055,-0.370
180383,0.050,-0.375
180384,0.030,-0.380
180385,0.040,-0.370
180386,0.055,-0.365
180387,0.035,-0.375
180388,0.055,-0.365
180389,0.050,-0.340
180390,0.030,-0.300
180391,0.040,-0.255
180392,0.055,-0.280
180393,0.085,-0.250
180394,0.105,-0.210
180395,0.140,-0.175
180396,0.165,-0.190
180397,0.190,-0.180
180398,0.195,-0.185
180399,0.190,-0.195
180400,0.190,-0.235
180401,0.190,-0.290
180402,0.145,-0.265
180403,0.120,-0.260
180404,0.100,-0.310
180405,0.085,-0.335
180406,0.075,-0.340
180407,0.045,-0.355
180408,0.020,-0.360
180409,0.000,-0.395
180410,-0.010,-0.450
180411,0.020,-0.420
180412,0.005,-0.430
180413,-0.005,-0.425
180414,0.010,-0.430
180415,-0.015,-0.445
180416,0.000,-0.435
180417,0.010,-0.450
180418,0.000,-0.445
180419,0.000,-0.460
180420,-0.010,-0.440
180421,-0.010,-0.455
180422,-0.025,-0.455
180423,0.010,-0.420
180424,0.015,-0.420
180425,-0.005,-0.440
180426,0.000,-0.465
180427,0.000,-0.430
180428,0.025,-0.430
180429,0.010,-0.445
180430,-0.005,-0.450
180431,0.000,-0.425
180432,0.000,-0.395
180433,0.010,-0.375
180434,0.015,-0.300
180435,0.000,-0.150
180436,0.040,0.055
180437,0.105,0.370
180438,0.205,0.785
180439,0.135,1.130
180440,-0.130,1.330
180441,-0.550,1.520
180442,-1.245,1.720
180443,-1.945,1.900
180444,-2.495,1.920
180445,-2.740,1.835
180446,-2.790,1.695
180447,-2.670,1.535
180448,-2.515,1.335
180449,-2.335,1.170
180450,-2.205,1.035
180451,-2.120,0.885
180452,-1.920,0.905
180453,-1.800,1.045
180454,-1.685,1.320
180455,-1.565,1.575
180456,-1.460,1.515
180457,-1.315,1.100
180458,-1.195,0.490
180459,-1.080,-0.050
180460,-0.940,-0.415
180461,-0.815,-0.590
180462,-0.660,-0.640
180463,-0.475,-0.680
180464,-0.290,-0.675
180465,-0.100,-0.655
180466,0.055,-0.620
180467,0.185,-0.610
180468,0.320,-0.595
180469,0.410,-0.600
180470,0.455,-0.595
180471,0.500,-0.595
180472,0.530,-0.550
180473,0.530,-0.545
180474,0.540,-0.535
180475,0.570,-0.550
180476,0.610,-0.530
180477,0.590,-0.520
180478,0.625,-0.520
180479,0.620,-0.530
180480,0.635,-0.480
180481,0.635,-0.480
180482,0.665,-0.490
180483,0.685,-0.495
180484,0.685,-0.495
180485,0.690,-0.470
180486,0.710,-0.480
180487,0.715,-0.480
180488,0.735,-0.475
180489,0.745,-0.480
180490,0.760,-0.500
180491,0.795,-0.515
180492,0.815,-0.525
180493,0.855,-0.530
180494,0.865,-0.560
180495,0.880,-0.590
180496,0.900,-0.580
180497,0.950,-0.610
180498,0.945,-0.635
180499,0.990,-0.650
180500,1.000,-0.660
180501,1.025,-0.670
180502,1.040,-0.690
180503,1.040,-0.705
180504,1.055,-0.685
180505,1.060,-0.690
180506,1.090,-0.670
180507,1.060,-0.660
180508,1.055,-0.625
180509,1.035,-0.560
180510,1.030,-0.555
180511,0.995,-0.510
180512,0.940,-0.465
180513,0.910,-0.415
180514,0.875,-0.390
180515,0.830,-0.360
180516,0.780,-0.325
180517,0.725,-0.295
180518,0.670,-0.315
180519,0.615,-0.275
180520,0.565,-0.270
180521,0.535,-0.280
180522,0.455,-0.285
180523,0.420,-0.300
180524,0.380,-0.290
180525,0.355,-0.305
180526,0.315,-0.305
180527,0.275,-0.310
180528,0.260,-0.330
180529,0.245,-0.345
180530,0.215,-0.350
180531,0.205,-0.335
180532,0.200,-0.340
180533,0.195,-0.360
180534,0.210,-0.365
180535,0.195,-0.345
180536,0.165,-0.350
180537,0.180,-0.355
180538,0.180,-0.355
180539,0.175,-0.380
180540,0.180,-0.375
180541,0.175,-0.385
180542,0.170,-0.390
180543,0.175,-0.395
180544,0.170,-0.395
180545,0.180,-0.395
180546,0.170,-0.440
180547,0.180,-0.440
180548,0.190,-0.415
180549,0.190,-0.400
180550,0.180,-0.430
180551,0.200,-0.420
180552,0.195,-0.420
180553,0.210,-0.430
180554,0.195,-0.445
180555,0.205,-0.445
180556,0.190,-0.425
180557,0.180,-0.440
180558,0.180,-0.445
180559,0.190,-0.450
180560,0.180,-0.425
180561,0.190,-0.430
180562,0.205,-0.445
180563,0.165,-0.445
180564,0.195,-0.440
180565,0.180,-0.425
180566,0.160,-0.455
180567,0.145,-0.445
180568,0.160,-0.415
180569,0.145,-0.435
180570,0.165,-0.435
180571,0.170,-0.425
180572,0.145,-0.415
180573,0.155,-0.430
180574,0.140,-0.435
180575,0.115,-0.415
180576,0.135,-0.410
180577,0.130,-0.415
180578,0.145,-0.420
180579,0.135,-0.400
180580,0.145,-0.395
180581,0.155,-0.410
180582,0.140,-0.410
180583,0.125,-0.410
180584,0.130,-0.395
180585,0.135,-0.400
180586,0.135,-0.390
180587,0.140,-0.410
180588,0.125,-0.395
180589,0.155,-0.395
180590,0.150,-0.400
180591,0.125,-0.380
180592,0.130,-0.375
180593,0.120,-0.375
180594,0.115,-0.390
180595,0.135,-0.395
180596,0.130,-0.385
180597,0.120,-0.380
180598,0.090,-0.395
180599,0.095,-0.355
180600,0.110,-0.365
180601,0.125,-0.335
180602,0.130,-0.295
180603,0.110,-0.255
180604,0.135,-0.240
180605,0.175,-0.225
180606,0.200,-0.190
180607,0.230,-0.185
180608,0.265,-0.150
180609,0.285,-0.155
180610,0.310,-0.175
180611,0.300,-0.190
180612,0.280,-0.230
180613,0.260,-0.255
180614,0.205,-0.250
180615,0.180,-0.275
180616,0.155,-0.305
180617,0.170,-0.295
180618,0.130,-0.295
180619,0.100,-0.335
180620,0.055,-0.390
180621,0.075,-0.425
180622,0.070,-0.425
180623,0.075,-0.420
180624,0.055,-0.435
180625,0.070,-0.455
180626,0.060,-0.445
180627,0.045,-0.430
180628,0.050,-0.435
180629,0.070,-0.430
180630,0.055,-0.440
180631,0.035,-0.430
180632,0.055,-0.440
180633,0.070,-0.430
180634,0.060,-0.430
180635,0.055,-0.440
180636,0.060,-0.435
180637,0.050,-0.435
180638,0.050,-0.440
180639,0.065,-0.435
180640,0.075,-0.435
180641,0.065,-0.435
180642,0.055,-0.410
180643,0.035,-0.380
180644,0.060,-0.325
180645,0.055,-0.170
180646,0.070,0.035
180647,0.150,0.325
180648,0.220,0.680
180649,0.140,0.930
180650,-0.185,1.125
180651,-0.690,1.365
180652,-1.460,1.630
180653,-2.160,1.790
180654,-2.625,1.775
180655,-2.800,1.680
180656,-2.765,1.570
180657,-2.650,1.355
180658,-2.510,1.165
180659,-2.370,0.995
180660,-2.270,0.825
180661,-2.095,0.795
180662,-1.945,0.910
180663,-1.845,1.200
180664,-1.725,1.450
180665,-1.585,1.350
180666,-1.410,0.890
180667,-1.280,0.215
180668,-1.170,-0.335
180669,-1.035,-0.605
180670,-0.855,-0.695
180671,-0.685,-0.685
180672,-0.490,-0.670
180673,-0.300,-0.660
180674,-0.080,-0.625
180675,0.100,-0.595
180676,0.295,-0.580
180677,0.395,-0.575
180678,0.465,-0.575
180679,0.510,-0.560
180680,0.560,-0.555
180681,0.595,-0.550
180682,0.615,-0.535
180683,0.610,-0.525
180684,0.625,-0.510
180685,0.650,-0.510
180686,0.680,-0.515
180687,0.670,-0.510
180688,0.670,-0.495
180689,0.695,-0.495
180690,0.715,-0.490
180691,0.710,-0.495
180692,0.730,-0.490
180693,0.750,-0.475
180694,0.755,-0.495
180695,0.790,-0.495
180696,0.795,-0.505
180697,0.835,-0.500
180698,0.830,-0.510
180699,0.860,-0.515
180700,0.880,-0.540
180701,0.910,-0.535
180702,0.915,-0.555
180703,0.950,-0.585
180704,0.955,-0.580
180705,1.000,-0.585
180706,1.020,-0.605
180707,1.065,-0.630
180708,1.090,-0.650
180709,1.105,-0.665
180710,1.125,-0.665
180711,1.130,-0.685
180712,1.145,-0.670
180713,1.135,-0.655
180714,1.140,-0.665
180715,1.115,-0.645
180716,1.115,-0.630
180717,1.105,-0.590
180718,1.065,-0.580
180719,1.030,-0.535
180720,0.990,-0.505
180721,0.970,-0.465
180722,0.910,-0.420
180723,0.875,-0.405
180724,0.835,-0.370
180725,0.790,-0.320
180726,0.725,-0.320
180727,0.670,-0.320
180728,0.630,-0.320
180729,0.560,-0.305
180730,0.515,-0.315
180731,0.450,-0.325
180732,0.410,-0.320
180733,0.365,-0.345
180734,0.325,-0.350
180735,0.285,-0.340
180736,0.260,-0.365
180737,0.235,-0.375
180738,0.230,-0.380
180739,0.200,-0.390
180740,0.195,-0.400
180741,0.190,-0.400
180742,0.175,-0.395
180743,0.175,-0.395
180744,0.155,-0.400
180745,0.170,-0.400
180746,0.160,-0.430
180747,0.160,-0.430
180748,0.175,-0.440
180749,0.170,-0.425
180750,0.135,-0.445
180751,0.140,-0.445
180752,0.155,-0.440
180753,0.175,-0.450
180754,0.165,-0.450
180755,0.155,-0.460
180756,0.165,-0.450
180757,0.185,-0.445
180758,0.165,-0.450
180759,0.160,-0.475
180760,0.165,-0.470
180761,0.150,-0.450
180762,0.155,-0.475
180763,0.180,-0.480
180764,0.180,-0.460
180765,0.200,-0.440
180766,0.190,-0.470
180767,0.175,-0.465
180768,0.200,-0.440
180769,0.185,-0.435
180770,0.155,-0.475
180771,0.175,-0.470
180772,0.145,-0.435
180773,0.160,-0.440
180774,0.170,-0.455
180775,0.165,-0.460
180776,0.165,-0.430
180777,0.165,-0.430
180778,0.150,-0.450
180779,0.145,-0.440
180780,0.170,-0.420
180781,0.160,-0.430
180782,0.160,-0.415
180783,0.135,-0.430
180784,0.160,-0.430
180785,0.150,-0.405
180786,0.145,-0.420
180787,0.150,-0.415
180788,0.140,-0.410
180789,0.145,-0.405
180790,0.130,-0.410
180791,0.130,-0.415
180792,0.130,-0.395
180793,0.160,-0.415
180794,0.145,-0.405
180795,0.140,-0.405
180796,0.140,-0.415
180797,0.120,-0.400
180798,0.140,-0.405
180799,0.115,-0.420
180800,0.115,-0.410
180801,0.110,-0.405
180802,0.135,-0.400
180803,0.130,-0.400
180804,0.120,-0.380
180805,0.120,-0.360
180806,0.125,-0.330
180807,0.125,-0.295
180808,0.140,-0.265
180809,0.150,-0.255
180810,0.200,-0.220
180811,0.215,-0.205
180812,0.260,-0.195
180813,0.265,-0.175
180814,0.275,-0.160
180815,0.300,-0.170
180816,0.280,-0.215
180817,0.275,-0.260
180818,0.225,-0.275
180819,0.205,-0.260
180820,0.165,-0.280
180821,0.135,-0.300
180822,0.155,-0.335
180823,0.120,-0.340
180824,0.065,-0.345
180825,0.055,-0.405
180826,0.075,-0.445
180827,0.075,-0.460
180828,0.075,-0.440
180829,0.080,-0.450
180830,0.065,-0.455
180831,0.040,-0.455
180832,0.060,-0.450
180833,0.055,-0.450
180834,0.060,-0.460
180835,0.055,-0.460
180836,0.070,-0.455
180837,0.040,-0.450
180838,0.055,-0.435
180839,0.065,-0.465
180840,0.070,-0.455
180841,0.060,-0.455
180842,0.090,-0.455
180843,0.080,-0.430
180844,0.075,-0.455
180845,0.065,-0.440
180846,0.075,-0.430
180847,0.070,-0.445
180848,0.070,-0.420
180849,0.065,-0.410
180850,0.075,-0.365
180851,0.045,-0.290
180852,0.060,-0.145
180853,0.075,0.040
180854,0.195,0.330
180855,0.255,0.635
180856,0.180,0.920
180857,-0.130,1.075
180858,-0.570,1.260
180859,-1.320,1.470
180860,-2.000,1.660
180861,-2.550,1.695
180862,-2.815,1.605
180863,-2.845,1.480
180864,-2.765,1.300
180865,-2.640,1.100
180866,-2.505,0.925
180867,-2.420,0.720
180868,-2.275,0.605
180869,-2.085,0.615
180870,-1.960,0.830
180871,-1.830,1.070
180872,-1.715,1.215
180873,-1.555,0.985
180874,-1.405,0.500
180875,-1.275,-0.100
180876,-1.145,-0.535
180877,-1.000,-0.690
180878,-0.830,-0.735
180879,-0.655,-0.700
180880,-0.485,-0.685
180881,-0.285,-0.670
180882,-0.075,-0.630
180883,0.105,-0.600
180884,0.295,-0.580
180885,0.385,-0.575
180886,0.485,-0.585
180887,0.540,-0.565
180888,0.570,-0.565
180889,0.590,-0.530
180890,0.625,-0.500
180891,0.640,-0.515
180892,0.635,-0.510
180893,0.665,-0.505
180894,0.680,-0.505
180895,0.695,-0.500
180896,0.695,-0.495
180897,0.685,-0.480
180898,0.715,-0.485
180899,0.730,-0.460
180900,0.745,-0.470
180901,0.740,-0.450
180902,0.770,-0.430
180903,0.800,-0.460
180904,0.810,-0.475
180905,0.820,-0.460
180906,0.830,-0.450
180907,0.855,-0.470
180908,0.880,-0.475
180909,0.880,-0.475
180910,0.925,-0.505
180911,0.935,-0.540
180912,0.955,-0.535
180913,0.980,-0.575
180914,1.015,-0.575
180915,1.055,-0.595
180916,1.055,-0.600
180917,1.090,-0.600
180918,1.105,-0.615
180919,1.125,-0.625
180920,1.125,-0.645
180921,1.135,-0.640
180922,1.120,-0.655
180923,1.130,-0.620
180924,1.110,-0.595
180925,1.105,-0.570
180926,1.075,-0.545
180927,1.030,-0.525
180928,1.015,-0.500
180929,0.975,-0.470
180930,0.920,-0.425
180931,0.885,-0.390
180932,0.830,-0.380
180933,0.775,-0.365
180934,0.730,-0.345
180935,0.670,-0.320
180936,0.605,-0.320
180937,0.565,-0.340
180938,0.500,-0.335
180939,0.440,-0.340
180940,0.395,-0.360
180941,0.365,-0.360
180942,0.290,-0.360
180943,0.285,-0.380
180944,0.260,-0.410
180945,0.225,-0.400
180946,0.185,-0.400
180947,0.190,-0.415
180948,0.185,-0.420
180949,0.155,-0.420
180950,0.150,-0.415
180951,0.140,-0.430
180952,0.130,-0.445
180953,0.130,-0.440
180954,0.140,-0.435
180955,0.120,-0.440
180956,0.105,-0.425
180957,0.115,-0.440
180958,0.115,-0.465
180959,0.120,-0.445
180960,0.105,-0.465
180961,0.100,-0.465
180962,0.130,-0.480
180963,0.120,-0.485
180964,0.115,-0.475
180965,0.120,-0.505
180966,0.140,-0.475
180967,0.125,-0.495
180968,0.115,-0.495
180969,0.135,-0.520
180970,0.140,-0.535
180971,0.140,-0.520
180972,0.140,-0.530
180973,0.135,-0.510
180974,0.145,-0.510
180975,0.125,-0.525
180976,0.140,-0.525
180977,0.130,-0.510
180978,0.130,-0.520
180979,0.150,-0.515
180980,0.160,-0.505
180981,0.150,-0.525
180982,0.145,-0.515
180983,0.130,-0.505
180984,0.140,-0.495
180985,0.130,-0.500
180986,0.145,-0.520
180987,0.135,-0.485
180988,0.125,-0.500
180989,0.105,-0.500
180990,0.095,-0.495
180991,0.100,-0.490
180992,0.090,-0.515
180993,0.100,-0.510
180994,0.095,-0.500
180995,0.110,-0.500
180996,0.105,-0.490
180997,0.115,-0.500
180998,0.115,-0.495
180999,0.100,-0.500
181000,0.085,-0.505
181001,0.080,-0.505
181002,0.075,-0.485
181003,0.085,-0.495
181004,0.080,-0.490
181005,0.075,-0.500
181006,0.100,-0.480
181007,0.090,-0.470
181008,0.080,-0.480
181009,0.070,-0.485
181010,0.080,-0.480
181011,0.100,-0.480
181012,0.095,-0.475
181013,0.085,-0.470
181014,0.095,-0.465
181015,0.095,-0.445
181016,0.085,-0.430
181017,0.095,-0.385
181018,0.095,-0.360
181019,0.115,-0.350
181020,0.140,-0.320
181021,0.155,-0.295
181022,0.200,-0.270
181023,0.210,-0.240
181024,0.250,-0.250
181025,0.295,-0.255
181026,0.285,-0.320
181027,0.275,-0.350
181028,0.205,-0.345
181029,0.175,-0.320
181030,0.150,-0.365
181031,0.150,-0.390
181032,0.120,-0.410
181033,0.085,-0.430
181034,0.060,-0.410
181035,0.045,-0.450
181036,0.060,-0.495
181037,0.065,-0.505
181038,0.075,-0.515
181039,0.085,-0.495
181040,0.040,-0.515
181041,0.055,-0.520
181042,0.050,-0.520
181043,0.055,-0.485
181044,0.045,-0.495
181045,0.050,-0.480
181046,0.035,-0.505
181047,0.065,-0.505
181048,0.050,-0.480
181049,0.070,-0.505
181050,0.065,-0.505
181051,0.060,-0.500
181052,0.065,-0.490
181053,0.050,-0.495
181054,0.040,-0.510
181055,0.050,-0.480
181056,0.065,-0.475
181057,0.055,-0.460
181058,0.065,-0.480
181059,0.065,-0.430
181060,0.055,-0.425
181061,0.045,-0.335
181062,0.075,-0.185
181063,0.120,0.050
181064,0.170,0.350
181065,0.255,0.720
181066,0.185,1.025
181067,-0.070,1.250
181068,-0.460,1.425
181069,-1.070,1.595
181070,-1.780,1.850
181071,-2.310,1.945
181072,-2.655,1.895
181073,-2.800,1.775
181074,-2.710,1.590
181075,-2.590,1.325
181076,-2.380,1.135
181077,-2.260,0.960
181078,-2.180,0.805
181079,-2.020,0.740
181080,-1.850,0.865
181081,-1.770,1.100
181082,-1.655,1.345
181083,-1.520,1.410
181084,-1.370,1.165
181085,-1.250,0.625
181086,-1.120,0.055
181087,-0.980,-0.340
181088,-0.845,-0.575
181089,-0.710,-0.665
181090,-0.520,-0.725
181091,-0.355,-0.745
181092,-0.150,-0.715
181093,0.020,-0.660
181094,0.155,-0.650
181095,0.315,-0.640
181096,0.420,-0.640
181097,0.490,-0.605
181098,0.530,-0.600
181099,0.570,-0.610
181100,0.580,-0.610
181101,0.595,-0.600
181102,0.640,-0.575
181103,0.630,-0.575
181104,0.670,-0.600
181105,0.670,-0.555
181106,0.665,-0.565
181107,0.685,-0.545
181108,0.690,-0.540
181109,0.700,-0.525
181110,0.695,-0.530
181111,0.730,-0.505
181112,0.740,-0.510
181113,0.745,-0.490
181114,0.765,-0.475
181115,0.770,-0.515
181116,0.790,-0.520
181117,0.810,-0.515
181118,0.805,-0.500
181119,0.835,-0.525
181120,0.855,-0.525
181121,0.885,-0.540
181122,0.920,-0.565
181123,0.905,-0.580
181124,0.945,-0.570
181125,0.980,-0.580
181126,1.010,-0.595
181127,1.030,-0.620
181128,1.035,-0.655
181129,1.065,-0.650
181130,1.075,-0.640
181131,1.095,-0.640
181132,1.120,-0.650
181133,1.090,-0.620
181134,1.105,-0.630
181135,1.115,-0.605
181136,1.085,-0.575
181137,1.040,-0.525
181138,1.035,-0.510
181139,0.990,-0.470
181140,0.940,-0.420
181141,0.890,-0.380
181142,0.845,-0.365
181143,0.790,-0.360
181144,0.760,-0.355
181145,0.685,-0.320
181146,0.630,-0.310
181147,0.585,-0.315
181148,0.515,-0.335
181149,0.475,-0.330
181150,0.450,-0.335
181151,0.385,-0.360
181152,0.335,-0.375
181153,0.285,-0.365
181154,0.260,-0.375
181155,0.240,-0.395
181156,0.225,-0.380
181157,0.205,-0.410
181158,0.200,-0.400
181159,0.185,-0.430
